Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,33.25,53.8,24.65,38.7,38.05,59.7,12.2,24.7,14.84,21.4,5.1,13.2,17.74,5.24,26.05,40,5.11,93.1,160.3,41.6,43.3,24.4,38.95,9.76,8.76,143.8,19.68,14.62,52.8,25.05,12.56,8.63,9.37,51.45,6.23,14.1,4.86,8.36,6.84,61.5,39.7,127.4,56.95,81.55,46.65,27.2,83.35,4.24,4.63,20.4,50.6,8.47,16.08,24.65,128.8,2.71,361.6,36.5,47.6,43.9,3.11,,9.37,4.53,,57.65,225,43.8,104.1,10.08,4.6,24.95,27.65,5.84,340.8,83.75,35.9,43,16,15.98,8.04,66.8,5.07,21.15,10.6,89.2,22.5,112.6,143.9,2.88,165.3,4.94,22.35,43.25,6.67,51.1,3.02,83.15,37.3,95.4
09:32:00,33.05,53.75,24.75,38.65,37.75,59.05,12.14,24.6,14.76,21.1,5.13,13.16,17.72,5.24,26,39.95,5.13,93.15,162.3,41.8,43.55,24.35,38.6,9.79,8.8,144.4,19.64,14.62,52.5,24.95,12.62,8.63,9.36,51.35,6.23,14.16,4.86,8.43,6.84,,39.8,127.8,56.85,81.7,46.4,26.85,83.65,4.24,4.64,20.1,50.6,8.4,16.28,24.5,129,2.71,361.2,36.3,47.4,44,3.1,108.1,9.42,4.53,,57.65,226,43.75,103.6,10.14,4.59,24.85,27.75,5.82,340.4,83.75,35.9,42.85,15.96,15.74,8.08,66.85,5.06,21.05,10.52,88.25,22.75,112.6,143.4,2.89,166,4.95,22.45,43.65,6.64,50.8,3.02,,37.5,95.3
09:33:00,33.1,53.7,24.75,38.7,37.75,59,12.1,24.6,14.84,21.1,5.13,13.18,17.7,5.24,26.05,40.05,5.12,93.15,162.2,41.45,43.6,24.35,,9.85,8.8,144.1,,14.62,52.65,24.9,12.62,8.61,9.39,51.45,6.27,14.18,4.87,8.49,6.84,61.55,39.85,127.8,56.95,81.85,46.35,26.95,83.55,4.24,4.66,20,50.7,8.42,16.2,24.5,128.5,2.71,361,36.35,47.55,44.1,3.1,109.2,9.43,4.52,,57.85,226.4,43.7,103.7,10.12,4.57,24.95,27.75,5.8,340.2,83.8,36,42.9,,15.7,8.05,66.85,5.07,21.1,10.76,88.6,22.75,113,143.3,2.9,165.7,4.96,22.4,42.95,6.6,51.05,3.02,,37.7,95.4
09:34:00,33.25,53.9,24.8,38.65,37.7,59.4,12.08,24.55,14.8,21.05,5.11,13.16,17.64,5.24,26.05,40.05,5.08,93.25,162.2,41.1,43.55,24.35,38.5,9.84,8.77,144.4,19.54,14.68,52.7,24.95,12.64,8.62,9.38,51.35,6.26,14.1,4.88,8.51,6.84,61.75,40.1,128.1,56.85,81.95,45.85,27,83.4,4.25,4.66,19.82,50.55,8.47,16.26,24.6,128.8,2.71,362.6,36.5,,,3.1,108.9,9.39,4.53,,57.7,226.8,,,10.14,4.57,,27.8,5.81,341,83.85,35.85,42.9,16.02,,8.03,66.9,5.05,21.05,11,88.8,22.75,112.9,143.2,2.92,165.4,4.95,22.35,42.5,6.6,50.95,3.02,,37.55,95
09:35:00,33.35,54,24.75,,37.75,59.45,12.08,24.65,14.78,21,5.13,13.16,17.66,5.24,26.05,40,5.07,93.4,162.2,41.15,43.5,24.4,38.55,9.91,8.8,144.8,19.52,14.7,52.65,25,12.64,8.62,9.37,51.35,6.26,14.18,,8.48,6.85,61.8,40.25,127.9,56.9,81.95,46.1,27,83.45,4.24,4.66,20,50.6,8.45,16.26,24.5,129.3,2.71,362.2,36.25,47.5,,3.1,109.2,9.42,4.51,13.24,57.7,226.8,,103.6,10.18,4.59,24.9,27.75,5.79,341.2,83.8,,43,,15.66,8.05,66.85,5.04,21.1,10.94,88.9,22.75,112.8,143.3,2.9,165.3,4.96,22.35,42.45,6.62,50.85,3.02,,37.6,94.95
09:36:00,33.4,54.1,24.75,38.65,37.9,59.85,12.1,24.65,14.86,21.1,5.14,13.18,17.68,5.26,26.15,40.15,5.07,93.4,162.5,41.35,43.45,24.5,38.55,9.98,8.75,145,19.62,14.78,52.8,24.95,12.66,8.63,9.36,51.5,6.27,14.2,4.88,8.46,6.85,,40.5,127.8,56.9,81.9,46.25,27,83.85,4.25,4.66,20.05,50.55,8.4,16.34,24.55,129.6,,362.6,,47.5,44.2,3.1,,9.43,4.51,13.26,,227,,103.9,10.2,4.59,24.9,27.95,5.82,341.6,83.8,35.9,43.1,16.08,15.74,8.05,66.9,5.04,21.1,11.1,89.5,22.95,113,143,2.88,165,4.96,22.4,42.6,6.62,50.95,3.01,83.9,37.8,95.2
09:37:00,33.4,54.15,24.8,38.65,37.7,59.75,12.12,24.55,14.78,20.95,5.11,13.16,17.66,5.26,26.1,40.05,5.05,93.15,162.3,41.3,43.45,24.45,38.45,10.04,8.77,144.7,19.58,14.92,52.65,25,12.66,8.62,9.36,51.5,6.26,14.1,4.88,8.45,6.85,62,40.45,127.8,56.9,81.65,45.8,27,83.8,4.25,4.67,20.1,50.55,8.39,16.44,24.45,129.5,2.71,362,,47.55,44.1,3.1,109,9.4,4.51,13.36,57.7,227.4,43.6,103.7,10.18,4.59,24.9,27.95,5.82,341.4,83.75,35.9,43.1,16,,8.06,66.85,5.03,21.1,11.12,89.6,22.95,112.8,143.1,2.87,165.2,4.94,22.45,42.55,6.61,50.95,3.01,83.85,37.65,94.85
09:38:00,33.5,54.1,24.8,,37.7,59.75,12.12,24.55,,21,5.12,,17.68,5.25,26.1,40.1,5.06,93.2,,41.15,43.45,24.5,38.6,10.1,8.73,144.6,,14.86,52.75,25.05,12.64,8.63,9.35,51.45,6.29,14.1,4.88,8.47,6.84,,40.7,127.9,56.85,81.95,45.85,26.95,83.75,4.24,4.67,20.2,50.55,8.38,16.42,24.4,129.2,,362,,,,3.1,108.9,9.38,4.53,13.34,,227.2,,,10.2,4.6,24.9,28,5.81,341,83.75,,43.15,16.1,15.8,8.08,66.9,5.05,21.1,10.98,90,22.9,113.1,142.9,2.88,164.6,4.94,22.35,42.5,6.64,50.95,3.01,84.5,37.55,95.1
09:39:00,33.35,54.15,24.75,38.65,37.9,59.7,12.1,24.55,14.76,21,5.14,,17.76,5.26,26.1,40.1,5.06,93.25,163,41.4,43.4,24.55,38.6,10.06,8.76,144.6,19.66,15,52.85,,12.66,8.64,9.35,51.5,6.32,14.12,4.88,8.48,6.84,,40.95,127.8,56.85,81.95,45.85,27,83.7,4.24,4.66,20.3,50.6,8.4,16.48,24.45,129.2,,361.8,,47.55,,3.1,108.9,9.4,4.55,13.34,,227.2,,103.8,10.2,4.58,,28,5.81,341.2,83.75,,43.15,16.1,15.74,8.07,66.9,,,11.16,89.95,22.8,,142.8,2.87,165.1,4.94,,42,6.64,50.95,3.02,,37.7,94.95
09:40:00,,54.25,24.8,38.65,37.8,59.65,12.12,,14.8,21.05,5.14,13.18,17.76,5.25,26.2,40.15,5.03,93.2,163.6,41.3,43.4,24.5,38.6,10.06,8.72,144.4,,14.96,52.9,25,12.66,8.62,9.36,51.6,6.31,14.14,4.88,8.51,6.84,61.8,41.1,127.7,56.8,,46.2,26.9,83.6,4.24,4.66,20.6,50.6,8.45,16.56,24.55,129.1,2.71,361.6,36.4,,,3.1,108.8,9.38,4.54,13.34,57.8,227.4,,103.7,10.22,4.6,24.9,27.95,5.81,341.2,83.85,35.9,43.15,16.16,,8.07,67,5.05,21.05,11.16,89.95,22.85,113,142.7,2.88,165.4,4.96,22.45,42.2,6.64,50.95,3.02,83.9,37.7,94.95
