Dates,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
04-01,36.7,52.2,23.45,40.1,30.55,71.6,12.7,23.3,15.9,19.66,4.13,13.52,17.34,4.94,22.5,43.95,4.51,99.45,126.3,39.7,42.45,28.4,35.7,11.48,9.08,210.6,19.7,15.6,59.95,21.6,11.36,7.2,8.91,57.05,6.6,12.16,4.93,8.28,7.46,58.9,37.15,141.3,58.2,100.8,42.3,27.05,89.95,4,4.68,22.15,47.8,8.06,15.32,24.5,144.2,2.57,373.8,42.85,49.9,42.5,2.93,110.9,8.31,4.04,13.06,56.2,229.6,43.35,118.6,11.56,4.23,26.25,28.15,6.01,330.8,83.65,36.85,43.15,16.98,14.74,8.75,57.35,4.76,21.85,11.24,89.35,23.65,123.3,136.1,2.5,177,4.16,21.55,26.9,6.62,53.05,2.77,77.4,40.2,97.4
04-02,36.8,51.75,23.55,40.05,30.85,70.5,12.84,23.25,16.04,20.4,4.17,14.1,17.12,4.98,23.15,45.75,4.55,99.4,125,41.45,42.8,29.85,36.9,11.28,9.3,207.4,20.65,16.7,60.75,21.5,11.38,7.3,9.05,58.05,6.66,12.4,5.06,9.1,7.43,58.7,38.5,145,58.75,101.7,44.2,27.45,92.3,4.03,4.74,22.85,48.25,7.91,15.42,24.9,145.8,2.61,377,42.75,50,42.95,2.95,111.3,8.27,3.98,13.1,56.35,229,44.55,119.7,11.52,4.22,26.75,27.8,6.09,332.8,83.25,37.15,43.45,17.76,15.18,8.73,59.1,4.78,22,11.48,90.9,23.35,124.1,138.6,2.48,181.6,4.19,22.95,27.35,6.65,52.35,2.8,77.5,39.9,95.6
04-03,36.25,51.65,23.9,40.2,31.1,68.75,12.56,23,16.1,20.6,4.19,14.02,16.82,4.99,23.45,45.5,4.75,95.2,125.9,40.5,43,29.85,37.7,11.84,9.32,189.7,20.6,16.96,56.95,21.5,11.62,7.24,9.14,57.35,6.83,12.82,5.03,9.2,7.51,57.55,37.55,138.1,57.6,99.4,43,27.45,89.65,4.03,4.72,22.1,48.15,7.96,15.3,24.85,139.8,2.6,361.8,42.2,50.25,43.25,2.95,111,8.34,3.88,12.92,57,227.8,44.1,121.7,11.54,4.25,26.9,27.65,5.86,329.4,82.5,37.1,43.15,17.72,14.66,8.69,58.9,4.78,21.6,10.16,88.1,21.8,128.2,134.8,2.49,172.4,4.23,22.95,27.6,6.67,52.75,2.79,75.65,39.2,93.55
04-04,35.9,51.75,23.9,40.1,31,68.2,12.24,23.05,15.62,20.7,4.15,13.8,16.5,4.93,23.45,44.55,4.76,92.95,125.9,39.45,42.75,29.55,37.35,12.06,9.35,184,20.25,16.48,55.5,21.85,11.52,7.22,8.99,55.6,6.72,12.7,4.96,9.01,7.43,57.1,36.2,140.5,60.65,92.5,43.15,27.9,87.15,4.01,4.7,21.9,47.75,8.1,15.64,24.4,140,2.59,356,41.45,50.35,42.75,2.93,111.9,8.37,3.79,12.88,56.5,224.8,43.75,119,11.38,4.2,27.45,27.55,5.79,327.4,82.4,36.95,44,17.6,14.62,8.56,58.35,4.79,21.35,12.78,86.4,22,131.6,133.6,2.42,171.4,4.2,22.25,27.4,6.66,53.2,2.78,75.75,38.7,92.7
04-05,36.1,51.9,24.15,39.85,31.05,67.55,12.14,23.2,15.54,20.45,4.13,13.76,16.4,4.93,24.55,44.8,4.76,95.15,128.8,39.35,42.25,29.6,37.1,12.5,9.24,187.3,20.15,15.78,55.05,21.95,11.48,7.22,8.98,55.9,6.68,12.7,4.92,8.85,7.34,57.8,36.1,139.8,59.35,,41.95,27.25,86.7,4.02,4.73,22.2,47.45,7.46,15.7,24.15,139.1,2.58,356,42.2,49.7,42,2.93,110.7,8.37,3.81,12.98,56.15,225,44.15,119.2,11.42,4.18,26.75,27.45,5.9,327.6,81.1,37.05,43.95,17.62,14.74,8.78,58.6,4.78,21.25,12.8,87,22.75,130.9,139.1,2.4,177.6,4.17,22.05,26.7,6.72,53.2,2.79,75.1,40.1,96.05
04-08,35.7,53.25,24.05,39.9,30.8,66.5,12,23.15,15.54,20.05,4.12,13.5,16.14,4.88,24.25,43.8,4.56,90.05,130.6,38.4,42.55,28.65,36.2,11.36,9.4,178.4,19.96,15.38,52.85,21.6,11.38,7.21,8.98,54.15,6.59,12.2,4.85,8.66,7.37,56.8,34.75,131.4,59.55,78.25,41.4,27.15,86.25,3.99,4.7,22.35,47.55,7.67,15.72,23.6,134.4,2.56,349.4,40.3,49.4,42.25,2.91,108.4,8.31,3.79,12.8,56.5,223,43.05,117.5,10.8,4.12,26.65,27.7,5.71,319.4,81.2,36.8,43.75,17.16,14.38,8.83,57.95,4.77,20.7,13.12,84.65,22.8,128.8,123.5,2.51,167,4.13,21.5,26.25,6.56,50.1,2.77,74.25,39,93.6
04-09,35.25,52.15,23.95,39.7,30.1,67,11.86,23.7,15.3,20,4.08,13.38,15.62,4.85,24.5,43.45,4.43,89.4,132,37.65,42,27.95,36,11.14,9.23,178,19.42,15.32,54.2,21.05,11.16,7.05,8.86,53.5,6.51,11.84,4.81,8.39,7.36,58.25,34.85,134,59.05,79,39.45,27.4,85.5,3.95,4.67,21.45,47.15,7.59,15.4,23.55,136.2,2.49,349.4,40.25,49.65,41.7,2.9,108.1,8.26,3.79,12.98,55.7,215.4,43.2,114.5,10.72,4.07,26.6,27.65,5.72,318.6,82.15,36.8,43.8,17,14.2,8.62,57.3,4.67,21.25,13.32,83.6,23.75,127.4,124.3,2.54,162.4,4.05,20.9,26.05,6.38,50.85,2.74,76.7,38.05,91.6
04-10,34.5,52.2,23.6,39.55,30.05,66.75,11.86,23.5,15.14,19.46,4.02,13.3,16.02,4.8,23.65,42.5,4.41,86.5,126,38.1,42,27.75,34.8,10.4,8.38,173.7,19,14.66,52.5,21,11.02,6.89,8.66,53.3,6.28,11.84,4.71,8.39,7.38,57.95,34.35,134.8,59.3,78.05,40,27.55,85.7,3.92,4.56,21.45,46.8,7.52,15.2,22.4,136.1,2.48,343.6,39.15,49.2,41.4,2.88,107.2,8.14,3.86,12.68,55.55,211.2,43,111.5,10.18,4.05,26.55,27.2,5.6,314.6,83.25,36.1,44,16.88,14.1,8.43,58.8,4.64,21.35,12.56,83.55,22.8,127.6,121.1,2.52,154.9,4.01,20.8,25.65,6.45,51.6,2.72,77.4,36.95,89
04-11,36.3,53.85,24,40.05,32.4,71.25,12.6,25.15,15.56,20.4,4.11,14.1,16.26,4.94,23.8,45.25,4.64,91.9,128.8,40.55,42.6,28.6,35.7,10.98,8.76,183.3,20.1,15.02,56.05,21.3,11.26,7.05,8.9,57.5,6.5,12.54,4.83,8.88,7.41,62.65,37.65,145,60.25,80.25,41.5,28.4,90.6,4.04,4.76,22.75,47.7,8.02,15.52,24.55,142.8,2.55,368.8,41.15,50,42,2.94,108.8,8.5,3.91,12.98,56.45,224.4,44.3,113.7,10.62,4.16,26.8,28.55,6.05,330.8,85.5,36.05,44.45,17.32,14.86,8.58,60.6,4.75,22.05,13.04,88.05,24.2,129,131.3,2.71,166,4.11,22.05,27.1,6.54,51.8,2.77,80.9,39.25,96.95
04-12,35.6,52.8,24.4,40.05,32.15,71.05,12.52,24.65,15.34,20.05,4.15,14.18,16.12,4.98,23.75,43.9,4.78,87.6,137.4,40.65,42.2,28.35,36.3,10.62,8.85,179.1,20.25,15.68,55.6,21.5,11.34,7.27,8.81,56.9,6.42,12.74,4.91,8.82,7.37,61.85,35.75,141.9,58.25,83.3,42.9,27.9,88.9,4.06,4.82,22.35,48.1,8.11,15.5,24.75,141.3,2.6,362.8,39.4,49.85,41.9,2.97,107.6,8.85,3.94,13.14,56.65,223.2,44.05,113.2,10.48,4.18,26.9,27.15,6,336.4,86.15,35.95,44.35,17.18,15.02,8.73,61,4.8,21.8,13.44,87.25,24,128.8,131,2.71,153.1,4.18,22.05,27.1,6.51,51.15,2.8,81.2,39.2,95.3
