Dates,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
04-01,717000,352000,1038500,512500,132000,734500,3205400,421300,278000,1175000,10050000,2541000,922000,33231000,276000,1209000,1338000,3514700,94500,308000,452500,494800,862000,2071500,1110000,633250,150000,516000,693100,775600,2216000,938000,1828000,1492500,758000,952000,1258000,1078000,1665000,368000,443400,502300,2362000,429000,55000,701000,358800,28883000,2485000,230000,461500,376000,364200,660500,1052800,1626000,1251600,212000,566000,83500,18790000,471500,387500,1652000,300000,410000,348500,85200,155800,1227000,2699000,1694000,846800,2494000,193300,2399200,169500,385200,628000,232000,1908000,1936500,6048000,1239000,210200,84700,139000,272300,568400,4622000,96420,6440000,920200,4600,487500,769300,43638000,56000,64400,316700
04-02,445000,199000,595500,242000,49000,402500,1613800,209000,309000,1281000,15856000,1979000,192000,18297000,502000,874000,456000,1924300,9500,94000,223000,497400,1144000,1665000,1214000,408300,283100,600000,528500,57600,1453000,186000,362000,947500,144000,652000,1496000,1641000,540000,246000,200200,225550,1492800,217000,28000,275000,297300,7193000,678500,36000,363500,642000,289400,750000,733700,1032000,430700,58500,371500,58500,20261000,174500,600000,646000,620000,143500,266000,36000,104400,1285000,2425000,1278000,616800,1972000,125500,1010400,42000,167000,491600,120000,966000,1858500,1429000,780000,224800,10800,145000,88800,116200,2662000,33760,3780000,872800,400,115000,850400,6162000,64000,7700,149200
04-03,522000,349000,1701500,397500,115000,254500,4341200,774900,328000,1253000,8798000,1893000,458000,23600000,304000,810000,798000,4699000,45000,323000,486500,1373600,748000,3262000,1346000,1306450,58800,1443000,1068200,232400,2679000,882000,739000,1828500,774000,4370000,1620000,729000,1453000,416000,156100,925050,2154000,296500,76000,448000,180800,19412000,2466500,228000,961500,160000,463600,587500,1057300,853000,873400,108000,496500,152500,9831000,371000,306500,584000,288000,246500,181000,51600,222700,1946000,3713000,2646500,494000,1088000,134200,1671400,65000,417800,264400,154000,2222000,907000,1773000,618000,338800,109500,257000,295900,608700,2827000,145560,3674000,287400,2200,247000,772700,4774000,116000,122800,261800
04-04,890000,631000,686000,508000,187000,508500,6110200,554100,488000,1185000,7386000,2717000,582000,24088000,182000,1693500,1740000,5588600,42500,205500,538000,954200,734000,1038500,1710000,1120050,290800,1303000,1196500,580400,2499000,2140000,1751000,3408500,1228000,2172000,2394000,1210000,1693000,530000,462000,723650,2234400,519500,49000,357000,420300,17623000,5621500,154000,674500,136000,659400,591000,1280800,1757000,1442100,260500,660500,250500,20889000,489500,537500,1052000,822000,277000,297000,128600,280800,1937000,2910000,2912000,826800,3154000,285700,3468000,206500,673200,647600,194000,3500000,1334000,2799000,678000,889400,175600,127000,341900,678600,2456000,178140,7890000,1287000,4200,981000,901500,8356000,258000,78800,289100
04-05,1292000,562000,701000,492500,132000,554500,4020400,461600,488000,1691500,12596000,2243000,514000,33135000,470000,1325500,1047000,4707500,77000,188000,337500,1004400,1416000,1622500,2034000,1318000,217700,827000,745400,292800,1465000,1812000,1483000,2657000,1344000,3036000,2767000,834000,2557000,542000,323400,935900,1964400,0,57000,358000,254700,17356000,2118500,146000,845000,560000,824800,680500,1825000,3124000,1299500,278000,631500,174000,20167000,527000,821000,1190000,874000,324500,302000,93600,249900,1804000,2494000,1807500,1154400,2250000,254500,3769400,356000,631400,772400,206000,5254000,857500,1638000,641000,486000,176500,90000,233100,638900,2488000,98480,8998000,810000,1700,326000,2203000,5566000,128000,16500,303900
04-08,728000,1155000,824500,615000,211000,705000,7168400,533600,592000,1202500,6180000,2551000,402000,25944000,418000,916500,1347000,5052000,61500,1051000,267000,2585000,924000,2986500,1624000,794250,215200,503000,971000,274400,1460000,1494000,708000,3245500,1664000,1888000,2527000,1946000,1612000,422000,338000,881800,982400,1124500,105000,359000,292900,18163000,2430500,124000,612500,154000,284800,621500,1727400,1560000,1466700,315000,555000,126500,22827000,521000,1013500,348000,384000,302500,246500,74200,155500,4225000,5197000,760000,740000,2080000,304200,3813600,101500,330600,423200,214000,3132000,572500,1924000,678000,213000,101300,82000,222600,691700,2525000,138960,7998000,939600,1600,367000,1649800,5735000,154000,54000,518100
04-09,590000,580000,836500,465000,165000,376500,5348200,1345800,467000,1111500,7398000,1861000,554000,16998000,188000,659500,441000,4078400,45500,176500,362500,545200,1062000,877000,1368000,976400,543700,869000,838100,595200,2937000,2560000,991000,1659000,1292000,1318000,1485000,3600000,2484000,312000,304700,742300,1837600,615000,267000,251000,197200,14406000,1916000,42000,682500,338000,957800,494500,1359500,3351000,893200,158000,355000,147500,22934000,496500,890500,388000,540000,358500,562000,280400,225400,1729000,2001000,1182500,875600,1380000,272000,1904800,217500,267200,531600,122000,1342000,1100000,2000000,923000,98800,60700,146000,206200,568700,18478000,173820,13752000,1718600,700,373000,1254700,7239000,106000,37900,346600
04-10,3397000,2645000,3495500,2376000,414000,2547000,9886600,4974500,4115000,6478500,43050000,8192000,4528000,91255000,1482000,7265000,12144000,14324300,244000,3358500,1172500,3155800,5998000,4630500,13212000,2494500,951300,4435000,3002000,3699200,2109000,14526000,4776000,8180000,9464000,8280000,17362000,7068000,9945000,2724000,2066100,2614200,2185200,1583500,20929000,1410000,887600,61665000,13956500,2708000,4003500,800000,5848000,2589000,7265100,11771000,7445500,1689500,3351500,2202000,78997000,2123000,6513000,2354000,4006000,1374500,1235500,637200,1448700,17177000,16321000,9080500,4366000,7810000,641900,11126000,1046500,5822000,2613200,2884000,25590000,1922000,17583000,4368000,62000,709400,428000,669000,2963000,3853000,449360,25492000,5789400,1100,15845500,5451700,29831000,502000,76700,1490200
04-11,877000,1362000,454500,367500,171000,680500,4144600,1140000,494000,2676500,9270000,7561000,684000,24455000,294000,1388000,672000,5781900,49500,385500,412000,831600,2580000,1199000,2038000,972650,402100,829000,1036600,697600,3957000,1496000,1413000,2160000,548000,2256000,3288000,1092500,928000,652000,395600,1082200,1248400,1176500,74000,426000,129200,34437000,2118000,660000,724000,320000,539800,783500,1557200,1665000,1168600,333000,668500,128500,14049000,309000,5424000,270000,462000,295000,384500,108800,278000,3816000,9229000,983500,996000,1944000,317700,1994400,192500,385800,530000,542000,6376000,1334500,3419000,522000,198000,239100,55000,153400,807100,6072000,314020,8246000,916600,1400,1353000,1024700,10305000,88000,223900,221900
04-12,1196000,959000,1313000,458500,310000,507500,4812800,749200,883000,1332500,20364000,5767000,268000,17333000,346000,2054500,2844000,4122500,123500,263000,476500,892400,1466000,1298000,1776000,850200,160800,1285000,708100,574800,2217000,2374000,1566000,2398500,1970000,4378000,3017000,1034500,2333000,288000,708300,849400,983600,1099000,104000,592000,278300,19336000,2529000,136000,876500,134000,521600,1088000,1228400,4053000,1061500,361000,497500,134500,35024000,580500,2145500,710000,608000,571000,299500,178800,265100,2472000,3589000,1577000,1349600,2036000,311800,2886000,252000,362200,590400,262000,3440000,1168500,2040000,634000,172800,111700,123000,202500,660200,1676000,199180,11160000,684400,4900,201500,688100,7112000,136000,87200,263800
04-15,680000,500000,1409000,436500,437000,631500,4725600,886600,345000,1095000,15362000,2736000,424000,29928000,340000,780500,1008000,3316300,87500,187000,417000,1100800,1310000,594500,1670000,660950,166200,1042000,888200,435600,1365000,1530000,1074000,1319500,1872000,1174000,3909000,550000,2818000,408000,327800,643700,1010000,331000,117000,466000,133400,15972000,3032000,150000,649000,424000,598200,1076500,1103000,2733000,1189500,214000,459500,159000,26025000,499500,1118500,1800000,526000,549000,208500,89600,246000,2157000,1747000,1000500,775200,1774000,243700,2491000,227500,485000,356800,292000,1758000,1003500,1293000,549000,92200,163900,123000,212500,519100,2137000,142120,18926000,821200,2000,407000,1096100,9293000,110000,400,416300
04-16,587000,352000,625500,540500,339000,409000,3669800,434400,348000,1057500,11058000,2174000,742000,28574000,442000,2169500,690000,3615300,76500,222000,430000,839000,504000,670500,1346000,474150,118100,814000,595700,388000,1565000,4828000,1263000,1437500,1362000,1394000,2479000,835500,1519000,342000,348200,465150,1193600,266500,76000,347000,201900,12908000,2333500,240000,504500,142000,271400,405500,1152500,1587000,1012900,422500,451000,118500,29787000,310000,1111500,664000,416000,257500,243000,120000,249300,1488000,1938000,1338000,569200,1796000,239300,2184600,165500,261800,320000,166000,1710000,1767000,1421000,476000,661000,92100,111000,99800,366700,4275000,79440,12908000,959400,5900,264000,558900,9088000,118000,82000,161400
04-17,865000,462000,1161500,549000,363000,507000,1987200,685900,342000,780000,18658000,2794000,312000,38698000,812000,1434500,609000,3026600,67500,303500,459500,1139400,1014000,845500,1574000,553250,136000,893000,639200,292400,2893000,3190000,1784000,1296000,1244000,2308000,1885000,1006000,2662000,308000,351100,469350,1576000,497000,164000,239000,275400,15502000,3443500,358000,672000,226000,1121600,927000,1742900,1846000,948100,289500,418500,110000,18123000,634500,1201500,740000,332000,454000,259500,208200,152200,2085000,2540000,1013500,605200,1710000,238900,2412000,99000,450200,390800,354000,4508000,1098500,1651000,623000,209600,127400,63000,221500,486900,8799000,169000,21942000,1542800,3000,460500,1047100,7312000,124000,61400,321100
04-18,1201000,794000,1430000,461500,248000,935500,5439800,467800,871000,1368000,16360000,2884000,246000,44660000,306000,3133500,1083000,5093000,80000,317000,473500,1274400,1188000,1165000,1942000,842400,114300,1012000,859600,743600,2422000,2218000,2606000,3375500,1136000,1678000,4824000,1228000,1849000,512000,387900,706650,1784000,877000,111000,522000,428700,23513000,2814500,602000,606000,230000,1420200,1509500,2717800,3476000,1630100,353000,748500,134000,19032000,629500,1852500,556000,366000,578500,446500,154800,293500,3298000,4206000,1598500,975600,2190000,233500,2762000,208000,784000,363200,530000,5246000,1218000,2447000,557000,97600,168500,184000,198800,705700,2076000,140700,12440000,1084200,6100,559500,1458700,10695000,98000,95500,322800
04-19,1260000,532000,585500,556500,283000,421500,4470800,1341500,591000,1443500,12982000,2568000,532000,24241000,372000,1958500,1557000,5754100,181500,134500,426000,889600,906000,1395000,912000,742400,725700,767000,675300,861600,2278000,3454000,1970000,2826500,3054000,3304000,3102000,1658500,1661000,212000,380700,705300,707600,1212000,135000,331000,275500,16835000,2769500,202000,1032000,548000,552000,1287000,1440900,2702000,2184100,636500,499000,178500,24458000,584500,902500,690000,918000,294000,274000,336600,324800,4153000,2492000,2776000,789200,1604000,256000,3202400,224000,458600,1118800,194000,3218000,1072500,2360000,710000,120600,240700,138000,219100,567300,2505000,93500,15680000,726200,2200,494500,781800,4869000,204000,70800,256500
04-22,2201000,1605000,2801000,1738000,4550000,1664500,64404800,1602700,1836000,3384000,15946000,10703000,190000,67395000,294000,3180500,1062000,15011200,159500,304500,764000,18657800,2540000,980500,4584000,7574300,142200,3430000,4839900,599200,74595000,1668000,4503000,4780000,680000,1576000,23255000,8054000,6839000,1332000,37245000,6203900,30498400,1265000,83000,1083000,758300,45403000,5381000,164000,1995000,540000,2046800,3232000,22703600,1718000,10039200,1046500,1382000,632000,58940000,1334500,1731000,234000,1926000,990500,2365500,638600,614300,4365000,7002000,2956500,2491600,37502000,489800,4949200,476000,1311200,669200,1278000,9460000,3479000,3388000,888000,191400,139100,75000,415000,4465700,42802000,725980,35844000,648200,154000,439500,2633300,10012000,112000,158400,5446500
04-23,956000,383000,1272000,459500,525000,717000,6985400,552100,609000,1904000,26538000,2553000,590000,40316000,550000,1074000,2247000,5266500,117500,460500,185000,1269800,1022000,1670000,1834000,1445100,179200,605000,1397400,1069600,1843000,2538000,1183000,3411500,1124000,4086000,4889000,2057500,1967000,560000,647500,849600,2454800,160000,110000,190000,579500,32431000,1545000,454000,375500,92000,1406200,1383000,1929200,2538000,1551100,548000,418500,235000,29096000,342000,4633000,1064000,884000,180000,589000,118200,318800,2672000,4773000,2350000,1114800,4010000,173200,3469400,263500,577200,396800,472000,5536000,1280500,2299000,461000,77600,280400,153000,82900,916600,4134000,261940,18014000,1169600,100,864500,1589200,7541000,112000,56600,485200
