Dates,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
04-01,37.3,52.5,23.05,40.15,30.5,71.1,13.1,23.55,15.94,19.66,4.1,13.72,,4.93,22.05,44.7,4.55,102.1,125.1,40.35,42.75,28.85,36.1,11.46,9.18,213,19.64,15.3,61.7,21.5,11.32,7.24,,57.5,6.61,12.18,,8.01,7.6,,37.85,146.5,58,103,42.2,27.6,91,3.99,4.63,22,47.55,,15.84,25,147.9,2.55,385.2,,50.05,42.85,2.92,110.9,8.44,4.08,,56.6,235.2,44.45,121,11.7,4.23,26.15,29.05,5.85,335,84.2,,,16.9,14.66,8.75,57.65,4.8,22.05,11.2,90,,123.7,138.9,2.66,179.9,4.19,22.15,,6.25,53.65,2.75,,40.45,100
04-02,36.7,52.5,23.3,40.25,30.65,71.6,12.64,23.3,15.88,19.66,4.12,13.46,17.48,4.98,22.5,43.7,,98.8,,39.05,42.3,28.4,35.5,11.48,9,208.4,19.56,15.6,59.45,21.55,11.34,7.22,,56.9,6.65,12.16,4.93,8.4,7.46,,37.15,141.3,58.4,100.6,42.35,27.2,89.95,3.99,4.68,,47.95,,15.32,24.1,144.7,2.56,371.6,,,,2.93,110.9,8.31,,,56.1,228,,118.5,11.56,4.2,26.25,28,6.03,332.2,83.05,,,16.96,14.74,,57.35,4.75,21.8,11.48,,,123,136.3,2.5,177,4.14,21.55,,6.62,53.2,2.77,,39.3,97
04-03,,51.4,23.5,,30.85,69.75,12.9,23.25,16.02,20.6,4.17,14.12,17,4.97,23.15,45.75,4.56,99.5,125,,,,37.25,,9.34,205.4,,16.7,60.15,21.5,11.44,7.3,,57.95,6.78,12.54,5.05,9.12,7.45,57.5,38.5,145.7,58.35,99.7,44.2,,92.5,4.02,,,,,15.42,24.9,146.1,2.6,375.2,,50,42.9,2.94,,8.24,3.98,,56.5,229.4,,119.7,,4.25,26.9,28,6.1,334.2,83.25,,43.7,,,8.79,58.9,,22,11.58,91.35,23.15,124.5,138.6,2.5,181.5,4.2,22.95,27.35,6.65,52.2,2.81,,39.8,95.05
04-04,36.35,51.7,23.9,40.2,31,68.65,12.56,22.85,16.1,20.5,4.19,14.02,16.78,5.02,23.55,45.65,4.71,92.1,127,39.5,43.1,29.9,,11.8,9.35,183.4,20.5,16.78,56.5,21.5,11.68,7.24,,56.9,6.8,12.8,5.04,9.08,7.52,57.55,36.5,138,60.8,96.75,42.6,27.45,89.5,4.06,4.72,21.55,48.35,7.97,15.26,24.8,138.8,2.6,355.6,42.35,50.75,43.05,2.95,111.9,8.33,3.88,,57,225.6,,122,11.46,4.25,27.25,27.65,5.8,325.6,82.85,37,42.9,17.72,14.88,8.72,59,4.83,21.55,10.22,86.9,21.05,129.2,133.9,2.46,171,4.23,22.95,27.7,6.67,52.85,2.79,76.4,,93.7
04-05,36,52,24.4,40.3,31.1,67.45,12.42,23,15.62,20.65,4.15,13.88,16.38,4.93,24.1,44.55,4.8,92.75,125.2,39.5,42.75,29.85,36.95,12,9.35,178.8,,16.46,55.05,21.65,11.5,7.22,8.91,55.75,6.72,12.72,4.88,9,7.44,57.2,36.2,136.4,60.15,92.35,,27.85,86.05,4.01,4.71,,47.65,,15.78,24.4,138.7,2.58,350.8,42.2,50.25,42.7,2.93,111.9,8.36,3.75,12.72,56.5,224.4,43.7,119.2,11.38,4.2,27.45,27.5,5.8,329,81.6,36.85,43.9,17.6,14.7,8.56,58.2,4.78,21.5,12.86,86.4,22,130.6,133.9,2.44,173.4,4.19,22.25,27.3,6.62,53.05,2.78,,39.2,93.95
04-08,36.1,53.2,24.1,39.7,31.5,67.05,12.06,,15.62,20.35,4.13,13.68,16.3,4.92,24.6,44.7,4.71,93.25,129.7,,,29.4,36.95,12.5,9.24,183.8,20.1,15.7,54.75,21.65,11.5,7.2,8.91,55.5,6.68,12.58,4.88,8.85,7.33,,35.9,135.3,59.2,78.65,42.8,27.25,86,4,4.7,,47.3,7.71,15.46,23.75,137.9,,351,,49.5,42,2.92,110.7,8.38,3.81,,56.1,225,,119.2,11.3,4.16,26.85,27.4,5.9,324.6,81,,44,,,8.78,58.2,4.78,20.8,12.66,,,130,130.4,2.4,173.5,4.17,21.8,26.55,6.61,51.55,2.77,,,95.1
04-09,,53.25,23.9,39.75,30.5,66,11.86,22.85,,20.05,4.1,13.4,15.98,4.86,24,43.65,4.52,88,129.2,37.9,42.3,28.55,35.65,11.26,9.29,176,19.78,15.2,51.8,,11.32,7.15,8.89,53.75,6.5,11.84,4.81,8.58,7.3,,33.5,130.8,59.3,79,41,26.9,84.5,3.99,4.68,,47.55,7.55,15.72,23.05,132.3,2.56,345,,49.4,42.2,2.91,107.9,8.28,,,56.8,219.8,42.5,117.1,10.56,4.11,26.55,27.5,5.65,315.2,79.25,,43.5,,,8.83,57.65,4.75,20.7,13.38,83.15,23,127.5,122.9,2.48,161.9,4.11,21.05,25.95,,50.1,2.76,74.65,37.7,93
04-10,35.7,52.9,24.15,39.85,30.45,67.35,11.94,23.75,,20.15,4.12,13.6,15.64,4.87,24.5,42.45,4.49,88.25,130.4,37.85,42.1,27.95,35.6,11.14,9.09,177.5,19.46,15.34,53.3,20.85,11.2,7.06,8.86,54,,11.94,4.8,8.5,7.32,57.65,34.3,137,59.45,78.3,39.95,,85.5,3.96,4.71,,47.35,7.55,15.4,23.25,138.3,2.5,352.2,39.7,49.95,42.2,2.91,108.2,8.27,,12.82,55.7,214.2,42.65,113.8,10.82,4.11,26.7,27.85,5.74,318.8,83.05,,44.1,17.02,,8.68,57.8,4.71,21.25,13.8,,,128.8,124.3,2.58,158.8,4.06,20.85,,6.31,51.3,2.77,76.8,38,92.7
04-11,34.55,52.35,23.75,39.45,30.2,66.95,11.88,23.7,15.14,19.38,4.03,13.34,16.24,4.8,23.65,42.9,,86.7,126.8,38.2,42,27.5,34.8,10.48,8.38,174.1,19.36,14.56,52.55,20.9,10.98,6.9,8.63,53.5,6.38,11.88,4.71,8.4,7.36,58.05,35.5,135,59.85,78.3,40,27.5,85.65,3.92,4.55,21.7,47,7.6,15.2,22.4,135.3,2.48,347.4,39.35,49,41.4,2.88,107.2,8.18,3.86,12.66,55.55,213.6,42.6,111.3,10.24,4.04,26.4,27.45,5.6,314.6,84.2,36.1,43.6,16.9,14.52,8.43,59,4.65,21.4,12.6,83.55,22.8,127.6,124,2.54,154.9,4.01,20.9,25.75,6.6,51.6,2.72,,37,89
04-12,35.85,53.9,24,39.8,31.95,71.05,12.36,24.5,15.44,20.45,4.11,14.06,,4.9,24,44.75,4.64,88.6,128.3,40.15,42.6,28.55,35.7,10.78,8.74,178.8,20.25,15.02,54.5,21.3,11.26,7.02,8.82,56.9,6.43,12.46,4.82,8.78,7.36,61.95,35.6,141,58.05,81.6,41.5,28.4,89.75,4,4.73,22.3,47.65,,15.5,24.2,140.6,2.55,368.2,40.6,49.8,41.9,2.95,107.8,8.45,3.91,12.84,56.35,221.2,44.3,112.2,10.5,4.15,26.65,28.05,5.9,328.2,86.3,35.85,44.45,17.12,,8.5,60.1,4.74,21.85,13.56,87.45,,127.8,128.1,2.69,155.1,4.09,21.9,26.75,6.5,51.8,2.77,,38.6,95.8
