Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,30.6,,23.65,36.55,25.75,44.1,10.82,20.75,12.46,17.26,5.57,13.14,17.5,5.08,21.95,36.5,4.18,83.95,104,29.45,41.6,24.55,33.8,8.66,8.99,137.3,20.85,12.58,56.6,24.2,11.32,8.97,9.31,50.25,6.07,11.74,4.9,6.41,6.87,,47.15,139.4,60.85,87.95,34.25,23.5,77.2,4.17,4.26,18.4,48.7,7.48,14.32,19.94,128.1,2.86,339,,43.6,,3.18,99.7,7.1,4.87,12.12,61.35,253.8,39.2,102.7,9.39,3.42,24.2,27.8,4.71,302.4,80.1,,,13.6,12.74,6.84,63.5,5.23,19.42,8.8,63.4,,111.2,154.4,2.15,121.2,4.57,20.4,30.3,6.6,44.3,3.05,,30.8,79.3
09:32:00,30.25,51.35,23.65,36.45,25.7,43.7,10.78,20.65,12.46,17.38,5.58,13.14,17.5,5.09,21.9,36.4,4.15,83.4,104,28.9,41.6,24.5,33.8,8.58,8.94,135.9,20.7,12.56,56.5,24.45,11.32,8.91,9.34,50.05,6.04,11.66,4.9,6.39,6.85,50.7,47.35,139,60.9,88,,23.5,76.6,4.17,4.24,18.28,48.5,7.41,14.2,19.8,127.2,2.87,337.6,30.3,43.7,,3.18,99.05,7.1,4.86,12.06,61.4,253.2,38.9,103,9.38,3.42,24.15,27.8,4.66,301,80.05,,43.3,13.52,,6.82,63.5,5.24,19.48,8.8,63.3,,111.4,154.3,2.15,120.5,4.58,20.4,30,6.61,44.4,,68.45,,78.7
09:33:00,30.3,51.35,23.65,36.45,25.6,43.4,10.82,20.45,12.38,17.32,5.58,13.22,17.44,5.09,21.85,36.45,4.15,83.3,104,28.9,41.65,24.45,33.85,8.56,8.96,135.9,20.7,12.56,56.35,24.35,11.32,8.85,9.35,50.1,6.03,11.62,4.92,6.37,6.85,50.15,46.7,139.1,61,88,34.1,,76.55,4.18,4.23,18.24,48.4,7.5,14.18,19.86,127.2,2.86,337.4,30.25,43.65,41.75,3.18,99,7.09,4.87,,61.4,252.8,38.75,102.8,9.37,3.41,24.1,27.8,4.65,300.6,79.95,,43.35,13.48,,6.81,63.55,5.22,19.5,8.76,63,17.38,111.4,153.6,2.16,120.5,4.57,20.5,29.9,6.63,44.15,3.07,,,78.05
09:34:00,,51.35,23.55,36.55,25.65,43.35,10.84,20.5,12.34,17.28,5.58,13.18,17.48,5.09,21.75,36.45,4.15,83.3,103.6,28.9,41.7,24.45,,8.56,8.99,135.8,20.7,12.58,56.35,,11.3,8.85,9.33,50,6.02,11.6,4.92,6.37,6.86,50.35,46.7,139.3,60.95,87.95,34.1,23.5,76.65,4.18,4.25,18.26,48.45,7.49,14.18,19.82,127.3,2.86,337.6,30.45,43.6,41.95,3.18,99,7.09,4.91,,61.5,252.4,38.95,102.8,9.4,3.41,24.1,27.8,4.66,301.6,80.1,,43.35,13.46,,6.82,63.55,5.23,19.5,8.76,63,17.36,111.4,153.3,2.16,120.7,4.57,20.35,,,44.25,3.07,,30.75,77.9
09:35:00,30.25,51.25,23.5,36.45,25.6,43.2,10.82,20.5,12.3,17.26,5.57,13.14,17.48,5.08,21.75,36.35,4.14,83.2,103.6,28.75,41.65,24.35,33.8,8.56,8.97,135.6,20.65,12.54,56.15,,11.3,8.84,9.33,49.95,6.02,11.58,4.9,6.36,6.84,50.15,46.6,139.3,60.95,87.9,34,23.5,76.4,4.17,4.22,18.24,48.35,7.48,14.18,19.78,127.1,,337.4,30.2,43.65,42.1,3.18,98.9,7.07,4.93,12.02,61.45,251.8,38.85,102.7,9.38,3.41,24.1,27.7,4.66,301.2,80.05,33.65,43.35,,12.64,6.8,63.5,5.22,19.5,8.78,,17.42,111.5,152.9,2.16,120.6,4.57,20.3,29.95,,44.25,3.06,,30.75,77.95
09:36:00,30.25,,23.55,36.5,25.65,43.25,10.82,20.45,12.28,17.34,5.57,13.16,17.52,5.09,21.7,36.35,4.13,83.2,103.5,28.7,,24.4,33.75,8.58,9.02,135.6,,12.56,56.1,24.35,11.28,8.82,9.34,49.95,6.02,11.58,4.89,6.35,6.84,49.95,46.8,139.2,60.95,87.7,33.9,23.4,76.3,4.16,4.22,18.16,48.4,7.49,14.18,19.76,126.8,,336.4,30.15,43.55,42,3.17,98.2,7.06,4.93,,61.4,251.8,,102,9.39,3.41,24.1,27.6,4.67,301.8,80.1,33.65,43.2,,,6.81,63.5,5.22,19.48,8.77,62.75,17.34,111.4,152.9,2.15,119.9,4.57,20.25,,,44.25,3.06,,30.7,78
09:37:00,,51.1,23.55,36.4,25.8,43.2,10.86,20.45,,17.34,5.56,13.18,17.56,5.09,21.75,36.4,,83.35,103.4,28.6,41.7,,33.7,8.6,,135.8,,12.58,56.15,24.25,11.3,8.82,9.36,50.1,6.02,11.64,4.89,6.37,6.85,50,47.1,139.1,60.95,87.8,33.9,23.4,76.05,4.17,4.21,18.12,48.3,7.54,,19.72,126.5,,337.2,30.1,43.6,42,3.17,98.75,7.07,4.94,12.02,61.3,252.4,38.65,102.3,9.41,3.4,24.1,27.65,4.67,301.8,80.3,33.65,,13.46,12.66,6.78,63.45,5.23,19.44,8.73,,17.3,111.6,153,2.15,120.2,4.56,20.3,,6.62,44.25,3.06,,30.7,78.35
09:38:00,30.3,51.15,23.6,,25.85,43.35,10.9,20.35,12.32,17.42,5.58,13.18,17.58,5.09,21.8,36.45,4.12,83.5,,28.55,41.6,24.4,33.8,8.6,9.03,135.9,20.6,12.6,56.4,,11.32,8.83,9.36,50.1,,11.62,4.89,6.38,6.83,50,47,139.3,60.95,87.75,33.9,23.4,76.05,4.16,4.21,18.18,48.35,7.52,,19.7,126.8,,337.4,30.25,,41.95,3.18,98.6,7.07,4.91,12.02,61.3,252.6,,102.3,9.45,3.4,24.15,27.7,4.69,302.2,80.25,,43.2,,,6.77,63.5,,19.42,8.79,62.85,17.3,111.6,153.5,2.15,120.4,4.56,20.4,,6.63,44.15,,,30.75,78.9
09:39:00,30.25,51.15,23.55,36.3,25.8,43.35,10.88,20.3,,17.4,5.57,13.18,17.64,5.09,21.8,36.45,4.12,83.4,,28.55,41.45,,,8.59,9.03,135.6,,12.6,56.2,,11.3,8.82,9.36,50.05,,11.6,4.89,6.38,6.83,49.95,46.95,138.9,60.9,87.8,33.95,23.4,76.1,4.17,4.21,18.2,48.25,7.51,14.16,19.68,126.6,,336.8,30.25,43.55,41.9,3.18,98.35,7.07,4.92,,61.25,252.6,,102.3,9.44,3.4,24.15,27.7,4.69,301.6,80.25,33.5,43.2,13.48,,6.78,63.55,5.23,19.4,8.86,62.85,17.28,111.4,153.1,2.15,120.4,4.56,20.4,,6.63,44.2,3.06,68.8,30.75,79.05
09:40:00,30.15,51.05,23.55,36.25,26,43.2,10.86,20.15,12.28,17.38,5.56,13.14,17.64,5.08,21.75,36.45,4.08,83.35,103.3,28.55,41.35,24.35,33.7,8.59,9.01,135.3,20.6,12.56,56.2,24.15,11.3,8.83,9.35,50.05,,11.6,4.88,6.37,6.82,49.75,46.9,138.5,60.85,87.75,33.9,23.35,76.05,4.15,4.21,18.12,48.2,,14.12,19.68,126.3,2.85,336.2,30.05,43.6,41.8,3.17,98.55,7.06,4.92,12,61.2,251.8,38.55,102,9.42,3.4,24.1,27.55,4.66,301.4,80.2,33.4,43.05,,12.68,6.76,63.5,5.22,19.36,8.86,62,17.28,111.4,152.4,2.14,119.6,4.55,20.35,30.1,6.63,44.15,3.07,68.5,30.7,79
