Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,2.16025e+06,641950,2.0983e+06,156750,1.73895e+06,5.94048e+06,1.63156e+06,1.39185e+06,269560,2.45218e+06,8.70598e+06,1.1875e+06,2.0076e+06,2.72332e+07,776160,4.93065e+06,842130,4.62692e+07,,31300,141050,1.13297e+06,1.9292e+06,4.01722e+06,1.32578e+06,1.65412e+07,179832,331740,7.15123e+06,387220,5.03764e+06,236180,390250,4.8665e+06,1.64104e+06,2.93448e+06,865170,260720,2.04458e+06,2.2659e+06,2.20006e+06,6.12975e+06,5.12738e+07,1.0999e+06,515000,452950,897335,9.33472e+06,198675,658360,822225,33820,108224,1.84173e+06,2.29011e+07,,1.92984e+08,334525,1.32708e+06,503225,1.33126e+07,1.57718e+06,361200,356300,208400,789475,1.19154e+07,839960,1.21218e+06,2.57721e+06,2.81698e+06,576625,1.09548e+06,1.66746e+06,1.80088e+07,8.67235e+06,15050,102720,1.52532e+06,594080,1.60182e+06,1.52205e+06,511820,1.08686e+06,216604,788540,,1.68888e+06,6.61974e+06,1.50959e+06,6.68041e+06,2.45716e+06,486492,933460,32800,1.97682e+06,1.53513e+06,,104155,1.12712e+06
09:32:00,493200,3.89615e+06,417650,366475,826150,2.52145e+06,325468,925494,716500,94920,255640,1.9169e+06,314600,5.95e+06,47120,487950,2.58525e+06,2.37749e+07,1.5415e+06,372275,262275,2.07992e+06,1.4217e+06,1.72976e+06,1.21246e+06,7.86286e+06,221598,442140,3.72634e+06,1.10428e+06,2.0772e+06,556520,186430,3.69228e+06,130880,1.47796e+06,711530,123765,455540,98200,6.79674e+06,1.80833e+06,2.72334e+06,660600,1.5969e+06,113350,518835,300900,126135,327720,352900,16840,143392,526180,1.21128e+07,,5.35123e+07,226375,87200,120375,3.58138e+06,525075,110855,460860,92440,182200,7.527e+06,194880,584420,489130,1.71539e+06,22600,641900,1.62998e+06,5.89496e+06,7.34742e+06,15050,282450,38688,173000,6.2408e+06,4.21025e+06,8880,198820,424344,385550,244780,97890,2.98986e+06,3.30732e+06,1.96009e+06,72480,899068,521155,15175,808815,730800,,1.00973e+06,625390
09:33:00,,,128150,559500,133200,3.28312e+06,478316,431818,11180,158320,770340,2.24144e+06,,896750,117800,570425,353580,2.03435e+07,228050,185025,,28260,,350445,196220,1.05401e+07,398458,215500,6.73196e+06,1.0162e+06,1.0263e+06,641120,,3.51275e+06,35940,1.99628e+06,48510,500475,108970,1.9654e+06,3.75635e+06,1.73957e+06,5.57906e+06,2.1162e+06,217300,,648770,99120,184000,360640,141300,,860116,214780,7.14156e+06,14200,1.95889e+07,464225,392150,40100,51870,190800,114695,,46120,364075,1.4487e+06,209410,183405,249560,292170,881400,315280,3.09084e+06,875060,4.3118e+06,,25680,22208,99040,1.0486e+06,1.7091e+06,106560,1.13876e+06,252972,261550,276720,347680,1.584e+06,3.01881e+06,3.23419e+06,81560,375456,870600,6090,2.13986e+06,,,91415,1.27976e+06
09:34:00,,53350,23300,52425,,756250,414132,603000,33640,7920,244440,2.23838e+06,245640,1.69322e+06,117800,162900,70500,1.41956e+07,287750,,,1.19484e+06,,774005,359560,4.8255e+06,338170,90720,1.3014e+06,1.1427e+06,61100,926160,,928450,,3.25844e+06,70720,283855,,881000,1.71428e+06,2.42067e+06,3.35376e+06,1.5483e+06,,68100,1.32614e+06,88750,56140,262840,70700,,43664,701080,1.08229e+07,,5.08708e+07,105950,43650,,352170,,272550,106260,92760,,921500,20850,874355,355180,101380,56500,642460,255740,466880,868830,,17120,295144,74400,24820,63250,,36160,176348,,32440,10860,16170,4.20919e+06,1.65402e+06,,103356,661790,115955,145690,,2.0543e+06,13080,931970
09:35:00,275500,213500,,,26700,5.04458e+06,715768,92216,67100,,860020,1.24406e+06,,690120,,65300,595200,2.92334e+06,,77700,,1.47475e+07,801200,446670,979160,4.47328e+06,34612,228340,2.01134e+06,146700,159120,269120,16940,1.43312e+06,84340,2.2924e+06,159120,29975,44870,97800,786035,9.14464e+06,630500,132625,145500,45400,471520,344350,44110,,,,308640,416140,3.37876e+06,,1.00136e+07,185375,196425,,1.43871e+06,,55335,19320,23200,,2.6368e+06,279180,166565,,108380,259900,11280,98400,673320,7.52817e+06,,,133728,,236200,31625,124320,,191880,,210460,43480,4.49108e+06,,457340,9040,172908,307070,,638270,,,39220,179630
09:36:00,991400,2.5585e+06,,87250,26700,1.57298e+06,150688,150146,190200,103870,662320,905400,316480,511200,637880,32700,211950,2.28897e+07,115500,1.28022e+06,303000,1.29065e+06,1.9211e+06,173855,522800,5.98674e+06,219046,239540,2.58172e+06,371640,24480,589320,1.2354e+06,5.7825e+06,989260,2.51704e+06,420810,548575,6410,293600,5.71597e+06,3.46456e+06,2.3957e+06,4.32842e+06,328450,181950,1.00656e+06,457950,456270,2.21644e+06,1.05875e+06,,290636,15480,6.06466e+06,,4.86352e+07,856975,632425,,623760,668700,170280,9660,23160,212275,5.1447e+06,379760,1.06274e+06,893730,166110,598900,112620,49200,87960,1.17459e+07,,,262040,,311820,2.88468e+06,,144820,683056,48575,16140,43520,2.05122e+06,70260,1.39686e+06,534340,142420,91615,30550,90090,1.92832e+06,,9795,1.28231e+06
09:37:00,301950,266200,,34850,160500,3.41312e+06,44320,132130,11180,709670,1.18278e+06,799160,70280,698640,496040,16375,,6.61313e+06,,2.22115e+06,181575,,371400,65860,751520,7.29788e+06,234844,147880,993840,,269700,571660,177230,4.16562e+06,409220,3.64996e+06,124040,182150,,,1.82084e+06,5.61038e+06,25200,484700,254350,,1.76162e+06,1.2709e+06,4.0039e+06,1.9474e+06,46975,16960,595212,1.8186e+06,7.76784e+06,732660,5.25252e+07,157650,1.395e+06,,9.2436e+06,571950,,9660,92760,60650,5.7881e+06,147580,480615,1.91846e+06,220340,305100,45120,216040,1.7019e+06,7.70022e+06,272200,137120,55616,,62280,1.1095e+06,44400,325360,359724,90065,871560,76090,3.29202e+06,1.17469e+06,5.34466e+06,,692500,629620,6100,642860,,,91415,879635
09:38:00,,159600,1.6776e+06,,1.177e+06,435300,1.77944e+06,546842,,111580,382140,1.23589e+07,140480,161880,258960,5.31728e+06,,1.57082e+07,115750,15475,121050,905100,247200,47000,912420,2.61296e+06,543420,22720,859805,39060,1.41984e+06,469640,177010,5.86802e+06,108340,887640,1.80744e+06,383790,6410,97900,2.59201e+06,1.9163e+06,277200,88100,,,972005,436650,18000,,23525,,69228,193270,7.35437e+06,34200,5.16154e+07,13125,,,8190,,11895,144860,,,395100,56180,261730,287100,13560,180800,78940,176700,556500,142470,196300,,16656,,261660,1.3937e+06,213600,252560,25332,34650,,10870,2.70657e+06,6.80379e+06,327994,189940,49868,25185,,94275,80910,,3260,358205
09:39:00,,53300,34875,17450,133550,257675,186144,443444,,398500,185600,4.51506e+06,70160,34150,188240,685650,586290,6.12786e+06,290500,61900,80675,14040,123700,380250,777920,3.69246e+06,15350,532760,8.9144e+06,,244400,1.4904e+06,84270,4.38792e+06,240780,101600,2.54405e+06,341520,25640,1.8571e+06,4.30599e+06,1.78914e+06,4.9392e+06,1.75962e+06,,,1.01712e+06,863520,82000,,117625,343480,7680,433300,5.04988e+06,,1.65562e+07,13175,87175,,8190,47650,39800,192860,161760,30300,2.637e+06,314910,430390,1.91986e+06,33900,101700,349640,78580,321880,2.54863e+06,30150,,,,12460,2.84825e+06,,90300,380500,,,173810,836430,37800,1.90372e+06,,,41080,,34320,799100,,13060,1.20654e+06
09:40:00,2.4652e+06,,34875,,1.54715e+06,872300,6.37132e+06,946932,56000,255890,870040,2.11848e+06,737360,5.87882e+06,94080,2.9184e+06,270840,7.01908e+06,,355550,60525,,370800,93585,355600,5.12954e+06,268754,203480,2.52113e+06,1.11264e+06,,100200,,7.56345e+06,408600,,532800,29790,38460,1.6543e+06,6.69276e+06,3.03777e+06,680400,43900,1.41685e+06,,1.78376e+06,67450,,196880,,,770564,394700,8.26896e+06,1.95676e+06,7.97689e+07,316000,130800,,150150,47625,473610,57960,46240,151625,3.8122e+06,105260,419970,3.52524e+06,91530,,,393480,584640,5.14004e+06,45225,932840,72176,275000,523040,348225,,,31404,250380,581380,130200,674520,7200,3.83712e+06,543600,1.12364e+06,6310,,334620,138330,823000,,442625
