Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,3.81235e+06,3.511e+06,1.66772e+06,1.90765e+06,796100,1.47764e+07,1.53194e+07,1.07636e+06,,1.0363e+06,2.28924e+06,1.1548e+06,,7.73328e+06,2.82216e+06,7.44832e+06,2.72862e+06,4.67189e+07,1.31615e+06,5.71292e+06,219525,,2.3056e+06,2.33887e+06,273360,2.11211e+07,714116,3.94958e+06,7.53426e+07,409000,1.92522e+06,786740,190640,1.05518e+07,236000,3.40831e+07,293440,1.26764e+06,1.06008e+06,4.3468e+06,9.73047e+06,3.37551e+07,5.04562e+06,3.78628e+06,3.19915e+06,116400,3.65111e+06,2.6222e+06,,3.06992e+06,283450,170940,398056,1.4572e+06,1.76741e+08,,2.66578e+08,,984975,406975,155120,3.30018e+06,1.02966e+06,9740,,1.55908e+06,1.13881e+07,382980,756935,5.07809e+06,572700,2.78238e+06,2.48485e+07,2.16344e+06,7.16739e+07,1.75651e+07,715250,457480,128296,181160,2.45514e+06,1.85278e+06,626430,37280,637504,797565,694920,294640,5.04216e+06,947600,1.48965e+07,775960,16590,2.38453e+06,86085,5.37338e+06,458500,2.2153e+06,,1.41123e+06
09:32:00,,5.9923e+06,1.74358e+06,8.07638e+06,219200,1.1479e+06,1.95634e+06,1.53371e+06,327900,444220,5.97694e+06,124200,36440,1.08978e+06,1.42576e+06,1.79045e+06,299940,4.0846e+07,114300,1.15805e+06,1.45655e+06,1.09775e+06,703300,392565,928880,9.18262e+06,225094,,1.6699e+07,859120,4.19472e+06,549500,537540,7.6213e+06,829100,8.40876e+06,300000,3.04442e+06,44940,1.4908e+06,7.60461e+06,1.69146e+06,2.28348e+06,1.58468e+06,397950,23250,677395,996880,559225,436840,47300,85380,291700,818230,7.86611e+07,1.12599e+06,1.40292e+08,631775,1.22365e+06,285025,,2.4341e+06,425700,58440,,1.07569e+07,2.6474e+06,507540,958565,257400,696100,263825,2.08118e+06,1.57792e+06,8.48094e+06,9.77573e+06,,25950,89344,51480,1.33512e+06,1.19268e+06,103260,1.00768e+06,1.24147e+06,686635,288240,43760,6.00178e+06,752560,1.74623e+07,135600,302320,881085,77350,143765,702160,139600,,1.28701e+06
09:33:00,201600,909300,1.20575e+06,457100,631350,83425,2.90454e+06,207680,11700,49380,1.99268e+06,856980,1.09276e+06,505020,2.032e+06,2.35368e+06,421770,2.31349e+07,1.3716e+06,95625,40000,34300,576300,125670,172220,1.65778e+07,9940,,1.44992e+07,1.32474e+06,3.33896e+06,1.59768e+06,182340,1.20472e+06,166860,5.06132e+06,,400660,637420,,5.64332e+06,1.01666e+06,5.88948e+06,728250,428500,69750,905090,4.47216e+06,43125,100480,307225,768860,360444,43050,5.49576e+07,154980,3.79074e+07,,107125,60900,27700,3.2639e+06,414090,4.93912e+06,,30450,2.5178e+06,1.0175e+06,,2.08953e+06,166560,148850,1.61302e+06,481820,6.13618e+06,4.10405e+06,,60480,,,512000,3.07802e+06,,18700,595352,97740,220000,,624390,2.73056e+06,1.08129e+07,3.94486e+06,194170,856220,40280,1.44297e+06,2.01538e+06,838800,,1.51058e+06
09:34:00,604800,160450,48200,,770550,2.07685e+06,1.31662e+06,18840,,32840,1.40056e+06,1.2298e+06,,699940,2.2742e+06,17000,1.8807e+06,2.13221e+07,,998800,20000,268950,,125040,2.24608e+06,2.40468e+06,234840,12180,6.12836e+07,191600,3.08864e+06,326720,8690,1.68795e+06,,5.74352e+06,,192040,103200,594200,3.92862e+06,1.8854e+06,1.01698e+06,300225,323200,,1.25113e+06,617100,59450,200520,,361400,80972,665660,3.15256e+07,45920,5.14221e+07,,42850,284275,285310,,286380,265680,,,132000,,446435,247000,607250,,1.9272e+06,2.6545e+06,4.75756e+06,709150,,379200,83488,,1.30744e+06,753525,,,1.17386e+06,97835,,,447440,1.4046e+06,7.85072e+06,389580,41300,776755,133245,104155,502330,140000,6760,948460
09:35:00,,,602500,,357650,810725,1.16161e+06,767968,11720,,2.4596e+06,37320,4.57792e+06,770820,411080,135600,1.14498e+06,3.04368e+07,972400,682100,,,127600,220560,,5.4187e+06,69786,410820,1.64412e+07,67060,4.68304e+06,361100,,946400,23800,7.79816e+06,36350,1.68124e+06,,396800,7.40649e+06,2.3656e+06,4.216e+06,513000,287550,,1.00274e+06,268620,490170,334880,47200,847000,86064,511300,3.33123e+07,65990,5.79951e+07,365000,,,373950,48700,473175,29520,,,1.5805e+06,,,847650,3480,114125,1.5758e+06,351100,5.49212e+06,5.32351e+06,347500,155340,105600,,,2.54012e+06,,,2.5634e+06,261100,,21840,3.40627e+06,417570,4.91037e+06,117780,657330,1.98022e+06,111900,550545,34190,420600,74140,624670
09:36:00,1.03755e+06,319900,1.94042e+06,,1.1849e+06,1.78688e+06,2.59985e+06,676492,175820,1.7949e+06,2.07292e+06,2.24072e+06,439720,8.36384e+06,339360,4.85755e+06,40950,2.07583e+07,687100,1.62705e+06,,,2.3704e+06,2.57726e+06,2.6747e+06,2.10808e+06,675084,1.03112e+06,4.22347e+07,728520,511200,103160,940140,1.38006e+07,333620,8.47348e+06,664310,1.55286e+06,51440,694600,3.78278e+06,3.28816e+06,2.77772e+06,85500,107700,46550,1.12788e+06,6.62535e+06,69735,1.14248e+06,1.18068e+06,1.71678e+06,161448,1.96297e+06,5.25389e+07,37310,1.13878e+08,321775,235675,40600,69250,1.2175e+06,350570,700280,233400,120600,2.4998e+06,,656645,246640,1.16581e+06,22850,1.02908e+06,3.02512e+06,1.96413e+07,5.00656e+06,181950,768790,558760,102720,2.50288e+06,1.94745e+06,408600,972460,3.92762e+06,563790,16800,87310,1.79437e+06,2.06125e+06,1.57862e+06,236080,2.98516e+06,3.0883e+06,171230,34680,3.27172e+06,140000,33700,1.48518e+06
09:37:00,,213050,240900,,,976575,2.16932e+06,20724,35220,198240,732980,398720,,2.08669e+06,1.26204e+06,85000,504630,1.57328e+07,57300,111225,40000,29280,257100,47790,,2.4297e+06,104275,,1.00608e+07,1.7687e+06,425620,120160,52370,2.25945e+06,,1.24862e+07,4560,171870,64300,298400,5.99008e+06,1.64258e+06,743400,128100,935300,,296380,54450,,370800,47200,329060,15624,335800,1.81256e+07,467810,6.23208e+07,,,,257610,1.2163e+06,74015,,,,262500,15360,9130,639290,34800,273600,981200,985920,1.7849e+06,1.41624e+06,,,358184,,,597550,2.23771e+06,,3.14057e+06,309165,184360,21840,1.44148e+06,1.41276e+06,1.38369e+06,63560,429590,409800,,151725,42240,,16825,299780
09:38:00,115400,2.86975e+06,36100,105300,657650,249375,5.41896e+06,282986,11720,74250,2.6664e+06,49860,692240,6.19336e+06,923200,3.6732e+06,1.0944e+06,8.90146e+06,,1.28575e+06,279425,,64000,381170,34160,3.98513e+06,776475,,1.26956e+07,19280,2.27614e+06,411320,235440,2.1803e+06,,5.34096e+06,9100,,6420,1.0939e+06,6.40288e+06,1.09062e+07,569480,85400,612000,440500,3.20878e+06,995900,43090,67320,47175,,302064,292120,1.77037e+07,206850,2.07749e+07,,,,5.463e+06,485800,136325,,,,1.7056e+06,176640,,284700,313200,,931200,1.17936e+06,4.13366e+06,2.31525e+06,,,263200,102880,1.0256e+06,1.10088e+06,4.07252e+06,,2.46992e+06,138175,33520,,48070,2.47965e+06,9.47566e+06,99880,12420,2.33286e+06,,337750,47520,279800,,951460
09:39:00,,106400,72000,,164350,1.39252e+06,6.58077e+06,,597780,24720,1.26638e+06,535780,402080,544890,242800,374000,177840,1.96624e+06,57300,700275,1.39938e+06,1.0248e+06,704100,71335,51240,5.51081e+06,70175,,1.0765e+07,48200,487200,463320,157200,384800,23880,5.16288e+06,,1.25016e+06,334220,1.5937e+06,6.26224e+06,4.5282e+06,668620,213500,36050,,114840,264990,246655,67280,942675,706320,494820,68480,1.9842e+07,,2.03109e+07,321200,150000,40475,58170,2.13852e+06,15600,254800,93440,813150,1.8335e+06,675510,673645,3.28601e+06,6980,342000,290600,1.60578e+06,7.05936e+06,386040,121450,241950,61576,103000,1.04004e+06,849400,2.89922e+06,56160,1.45846e+06,59000,50280,,576750,1.07055e+06,4.82294e+06,799080,513360,2.011e+06,46725,1.46372e+06,7920,980100,103850,835205
09:40:00,115400,106250,72000,,824800,374050,5.63769e+06,,,8240,4.46128e+06,74740,36560,815120,24240,1.2155e+07,493440,1.48367e+07,57300,2.0703e+06,361025,448960,383600,147405,921560,2.69804e+06,2005,36180,1.24413e+07,57740,1.64306e+06,34320,87300,2.92485e+06,,5.98236e+06,,3360,302230,,6.87964e+06,778305,792320,2.47525e+06,864600,116050,1.37771e+06,290400,,67160,755225,362880,13000,342000,1.42898e+07,2860,1.65969e+07,,,303925,72020,875275,147815,764880,,634050,7.8542e+06,184560,592705,1.26505e+06,,91200,58000,201600,2.8577e+06,899360,,,336248,,577800,1.4468e+06,4540,,1.54122e+06,19670,117320,229120,144180,1.1077e+07,5.48701e+06,2.1567e+06,,2.07794e+06,6240,43300,21120,140300,,599460
