Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,27.15,,23.2,35.2,25.4,40.1,11.08,18.12,,16.58,5.81,11.42,17.04,4.32,11.86,33.5,4.78,89.5,,30.8,40.3,23.65,32.1,9.47,8.02,142.7,19.1,11.5,57.05,23.8,12.24,8.32,8.42,49.7,6.08,12.52,4.43,6.7,6.43,48.6,58.25,139.2,63.9,87.05,35.65,22.9,77.15,3.63,4,16.98,47.2,8.29,12.72,16.22,126,,331,26.45,43.1,40.25,2.75,96.15,8.05,4.65,,,264,,86.15,9.59,3.41,23,27.55,4.96,293.2,77.25,30.4,42.65,13.92,,6.26,64.4,4.52,18.14,10.92,69,16.68,110.6,160.7,1.61,122.2,4.54,18.66,31.2,5.92,43.7,2.64,,31.9,67
09:32:00,27.4,53.45,23.25,35.3,25.35,40.15,11.14,18.16,11.56,16.66,5.81,11.46,17.12,4.33,11.86,33.75,4.81,90.15,119.8,31.25,40.35,23.75,32.2,9.54,7.93,143.3,19.16,11.7,57.75,23.9,12.26,8.41,8.52,50.15,6.14,12.72,4.44,6.72,6.43,48.7,58.55,140.2,64,87.1,35.85,,77.5,3.64,4.02,17.1,47.4,,12.74,16.36,127.3,,332.2,26.85,43.25,40.25,2.76,96.35,8.12,4.65,11.76,61.2,265.2,,87.9,9.61,3.42,23.1,27.65,4.99,295.4,77.55,30.4,42.65,13.98,12.48,6.28,64.45,4.54,18.24,10.94,69.2,16.64,111,160.3,1.62,122.7,4.55,18.68,31.2,5.84,43.75,2.65,,32.1,67.15
09:33:00,27.55,53.35,23.3,35.35,25.4,40.35,11.16,18.18,,16.62,5.83,11.48,17.14,4.33,11.86,,4.79,90.2,120.2,31.35,,23.75,32.35,9.62,7.98,143.4,19.12,,58.25,,12.26,8.42,8.52,50.35,6.14,12.66,4.45,6.75,,48.7,58,140.2,64.05,87.1,35.8,,77.65,3.64,4.03,17.12,47.4,,12.76,16.36,127.4,,332.4,27.05,43.4,40.25,2.77,96.5,8.13,4.68,11.76,,264.6,36.45,87.65,9.57,3.44,23.1,27.6,4.99,295.6,77.7,30.45,42.65,14.02,,6.29,64.55,4.54,18.24,10.9,69.6,16.7,111.2,160.5,1.63,122.7,4.56,18.72,31.25,5.87,43.8,2.66,,32.1,67.35
09:34:00,27.45,53.35,23.25,35.35,25.4,40.35,11.16,18.16,11.6,16.62,5.81,11.48,17.12,4.33,11.86,33.9,4.78,90.25,120.3,31.3,,,,9.6,8,143.4,,11.68,58.35,23.85,12.24,,8.54,50.3,6.15,12.68,4.45,6.75,,48.65,58,140.1,64.05,87.1,36,,77.4,3.64,4.03,17.06,47.3,,12.78,16.32,127.5,2.82,332.4,27.05,43.4,,2.77,,8.15,4.67,,,264.4,36.25,87.85,9.55,3.45,,27.55,4.99,296.2,77.7,30.4,42.7,,12.46,6.3,64.55,4.55,18.16,10.9,69.85,16.68,110.9,160.4,1.63,122.4,4.55,18.72,31.25,5.88,43.85,,68.8,,67.5
09:35:00,27.45,53.25,23.25,35.35,25.4,40.4,11.2,18.18,11.6,16.62,5.8,11.52,17.14,4.33,11.82,33.8,4.79,90.25,120.5,31.4,,23.75,32.2,9.58,8.02,143.9,19.14,,58.6,23.85,12.24,8.41,8.53,50.25,6.17,12.68,4.45,6.73,6.45,48.7,58.05,140.1,64.05,87.15,36.05,,77.75,3.65,4.03,17,47.35,,12.8,16.26,127.7,2.83,332.8,26.95,43.35,40.2,2.77,96.45,8.17,4.67,,,264.8,36.35,87.85,9.56,3.46,23.1,27.65,5.01,296.6,77.85,,42.7,,,6.29,64.5,4.54,18.18,10.88,70,16.68,111.1,160.7,1.63,122.6,4.54,18.72,31.25,5.91,43.85,2.67,,,68.05
09:36:00,27.45,53.2,,,25.35,40.4,11.18,18.18,11.56,16.6,5.81,11.52,17.14,4.33,,,4.78,90.15,120.1,31.5,,23.75,32.2,9.58,8.02,143.7,19.16,11.66,58.55,23.9,12.24,8.42,,50.35,6.18,12.62,4.44,6.7,6.44,,58.1,140.5,64.05,87.15,36.05,23,77.65,3.64,4.02,17,47.3,8.31,12.86,16.22,127.9,2.82,332.4,26.8,43.4,40.2,2.77,,8.18,4.67,,,264.4,36.5,87.85,9.57,3.46,23.1,27.6,5.01,296.4,77.85,30.25,42.7,,12.52,6.31,64.5,4.55,18.18,10.84,69.85,16.68,111.1,160.8,1.65,122.6,4.55,18.74,31,5.92,43.85,2.67,,,68
09:37:00,,53.15,,,25.4,40.3,11.2,18.14,11.54,16.54,5.79,11.52,17.12,4.33,11.78,33.7,4.78,90.1,120,31.6,40.35,23.8,32.1,9.55,8.03,143.7,19.1,11.7,58.6,23.9,12.24,8.45,8.54,50.2,6.15,12.64,4.44,6.68,6.43,48.65,57.95,140.1,64.05,87.05,36.05,23,77.7,3.64,4.02,17.06,47.3,8.33,12.84,16.12,127.9,2.82,333.2,26.7,43.4,40.2,2.77,96.55,8.16,4.67,,61.2,264.6,36.5,87.8,9.55,3.47,23.1,27.55,5,296.6,77.9,,42.7,14,12.54,6.32,64.5,4.55,,10.8,70.1,16.54,111.2,160.7,1.65,122.4,4.55,18.7,31.1,5.93,43.85,2.66,,32.05,68.15
09:38:00,27.3,52.95,23.2,,25.45,40.25,11.16,18.2,,16.52,5.78,11.48,17.14,4.33,11.78,,4.78,90.15,120,31.45,40.35,,32.1,9.55,8.01,143.5,,11.66,58.55,23.9,12.22,8.42,8.51,50.15,6.18,12.66,4.44,6.67,6.43,48.6,57.85,140.3,64.05,87,36.25,,77.5,3.64,4.01,17.04,47.2,,12.84,16.1,127.3,2.83,333.6,26.55,43.35,40.2,2.77,96.55,8.17,4.66,,,263.8,36.3,87.65,9.54,3.46,23.1,27.5,4.99,296,77.85,,42.6,13.98,12.56,6.29,64.45,4.55,,10.8,69.95,16.6,,160.2,1.65,122.2,4.53,18.7,31.1,5.91,43.85,2.66,,32.05,68
09:39:00,27.25,52.9,23.15,35.25,25.35,40.1,11.16,18.12,,16.5,5.76,11.46,17.02,4.32,11.76,33.65,4.78,89.95,,31.4,40.2,,32.1,9.53,7.99,143.2,19.06,11.62,58.65,23.85,12.18,8.41,,50,6.17,12.62,4.43,6.65,6.43,48.6,57.3,139.9,64,86.15,35.95,,77.4,3.63,4.01,17.02,47.2,8.3,12.82,16.1,127.1,2.82,333,26.55,43.2,40.1,2.76,96.45,8.15,4.65,11.68,61.15,263.2,36.15,87.6,9.51,3.44,23.05,27.5,4.98,295.2,77.6,,42.55,13.96,12.44,6.29,64.4,4.54,18.18,10.82,69.8,16.66,111.2,160,1.65,121.8,4.53,18.62,,5.86,43.75,2.66,68.15,31.95,67.7
09:40:00,27.3,52.95,,35.3,25.3,40.1,11.12,18.12,11.54,16.5,5.75,11.46,17.02,4.32,,33.65,4.77,90,120,31.35,40.35,23.7,32.1,9.52,7.98,143.1,19.1,11.58,58.85,,12.2,8.41,,50.05,6.12,12.6,4.42,6.64,6.42,48.6,57.3,139.8,64,85.9,36,23,77.5,3.63,4.01,17.02,47.25,8.31,,16.12,127.4,2.82,333,26.6,43.2,,2.76,96.65,8.15,4.65,,61.15,263.2,,87.65,9.5,3.45,23.05,27.45,4.97,295,77.6,30.3,42.55,13.94,,6.28,64.5,4.54,,10.82,69.75,16.6,111.3,159.8,1.65,121.6,4.54,18.62,,5.86,43.75,2.67,68,,67.65
09:41:00,27.35,52.95,23.15,35.35,25.3,40.15,11.14,18.16,11.56,16.5,5.76,11.48,17.06,4.32,11.76,33.7,4.77,90.2,119.8,31.5,40.45,23.75,32.2,9.53,,143.6,19.1,11.64,58.9,,12.2,8.42,,50.15,6.13,12.62,4.42,6.64,6.43,48.65,57.6,139.8,64.1,85.65,36.2,,77.55,3.64,4,17.06,47.35,8.31,12.84,16.06,127.6,,333,26.7,43.3,,2.76,96.7,8.15,4.65,11.7,,263.6,,87.5,9.51,3.45,23.15,27.5,4.98,295.4,77.75,30.4,42.6,13.98,,6.29,64.5,,18.2,10.82,69.9,16.66,111.4,159.9,1.65,121.8,4.54,18.64,,5.87,43.95,2.66,,32,67.75
