Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,33.425,55.325,24.275,38.925,37.425,59.75,12.14,24.65,14.93,20.525,4.92,13.05,16.65,5.175,26.55,39.425,4.685,100.35,148.75,40.2,43.525,24.45,37.35,9.025,9.115,158.65,19.25,13.59,56.575,24.875,12.32,8.015,9.175,51.95,6.065,13.35,4.77,7.435,6.855,64.6,42.025,136.6,55.125,84.375,46.875,27.55,79.4,4.165,4.825,17.65,49.975,7.865,15.42,22.575,134,2.64,387.8,37.925,48.225,43.65,3.045,110.6,8.615,3.995,13.13,57.45,228.7,41.85,104.4,9.935,4.27,24.825,29.35,5.855,351.3,84.375,36.75,44.85,15.67,14.49,7.865,66.15,4.975,20.925,10.05,87.725,24.975,113.8,138.65,3.515,164.25,4.815,22.075,34.7,6.33,51.325,2.985,84.75,39.225,93.525
09:32:00,33.35,55.175,24.275,38.9,37.4,59.275,12.03,24.525,14.94,20.775,4.915,13.11,16.73,5.175,26.35,39.525,4.675,100.05,149.05,39.575,43.5,24.225,37.4,8.945,9.005,158.1,19.29,13.48,55.975,25.025,12.37,8.065,9.2,51.925,6.06,13.39,4.765,7.425,6.855,64.8,41.575,135.95,55.125,84.375,46.85,27.775,79.3,4.16,4.78,17.84,50.025,7.88,15.33,22.425,134.2,2.645,385.5,37.675,48.4,43.475,3.05,110.65,8.645,4.085,13.13,57.525,227.4,42.05,103.4,9.885,4.255,24.9,29.175,5.79,351.3,84.3,36.75,44.775,15.8,14.5,7.865,66.125,4.995,21.1,10.05,87.125,24.75,113.65,138.35,3.495,163.65,4.81,22.175,34.925,6.355,51.325,2.985,84.775,39.225,93.75
09:33:00,33.425,55.175,24.275,38.9,37.55,59.3,12.05,24.525,14.93,20.85,4.925,13.15,16.66,5.175,26.35,39.55,4.675,100.45,148.75,39.95,43.55,24.275,37.2,8.975,9.01,158.65,19.26,13.48,56.275,25.025,12.39,8.095,9.22,51.925,6.045,13.41,4.77,7.43,6.855,64.875,41.525,136.55,55.175,84.375,46.525,27.75,79.675,4.165,4.78,17.93,50.025,7.905,15.34,22.45,134.5,2.645,387.1,37.825,48.3,43.575,3.055,110.65,8.645,4.135,13.13,57.45,227.9,42.075,103.7,9.9,4.29,24.925,29.2,5.75,351.6,84.475,36.6,44.9,15.78,14.52,7.845,66.225,4.995,21.125,10.09,86.625,24.55,113.7,138.65,3.44,164.2,4.815,22.2,34.95,6.305,51.4,2.985,84.925,39.15,94.375
09:34:00,33.4,55.25,24.225,38.9,37.45,59.325,12.05,24.5,14.86,20.775,4.92,13.12,16.65,5.165,26.25,39.4,4.67,100.35,148.7,40.1,43.5,24.225,37.1,9.06,8.99,158.5,19.31,13.5,55.975,25.025,12.36,8.09,9.22,51.825,6.06,13.39,4.765,7.47,6.845,64.975,41.3,137.05,55.1,84.1,46.375,27.775,79.65,4.165,4.775,17.87,50.05,7.86,15.33,22.425,134.35,2.645,385.7,38.125,48.125,43.55,3.055,110.7,8.625,4.115,13.14,57.425,227.8,42.05,103.6,9.895,4.29,24.95,29.325,5.77,351.2,84.475,36.65,44.975,15.79,14.56,7.855,66.125,4.995,21.125,10.17,86.2,24.35,113.65,138.65,3.485,164.35,4.805,22.15,34.525,6.325,51.375,2.975,85.425,39.15,94.3
09:35:00,33.4,55.2,24.175,38.9,37.425,59.15,12.11,24.5,14.8,20.725,4.905,13.14,16.85,5.165,26.225,39.35,4.67,99.975,149,39.975,43.6,24.225,37.05,9.075,9.02,158.35,19.25,13.53,55.875,25.075,12.31,8.1,9.24,51.725,6.09,13.37,4.76,7.45,6.845,64.75,41.2,136.85,55.025,84.25,46.975,27.75,79.675,4.155,4.775,17.75,50.05,7.835,15.33,22.275,134.05,2.64,385,38.075,48.05,43.675,3.045,110.7,8.63,4.145,13.12,57.45,228.2,42.025,103.65,9.915,4.295,24.9,29.3,5.765,350.7,84.3,36.675,44.9,15.76,14.61,7.88,66.1,4.985,21,10.28,86.725,24.2,113.4,138.5,3.505,163.85,4.8,22.175,34.3,6.335,51.325,2.975,85.4,39.2,93.925
09:36:00,33.4,55.225,24.175,38.9,37.35,59.375,12.13,24.45,14.81,20.875,4.915,13.19,16.92,5.175,26.35,39.575,4.675,100.3,149.45,39.725,43.65,24.375,37.325,9.11,9.08,158.65,19.26,13.57,56.1,25,12.34,8.125,9.255,51.9,6.09,13.43,4.76,7.47,6.855,64.875,41.425,137.2,55.125,84.575,46,27.8,80.075,4.155,4.775,17.65,50.2,7.82,15.35,22.475,134.6,2.655,386.3,37.875,48.15,43.65,3.055,110.7,8.685,4.17,13.12,57.45,228.9,42.425,103.95,9.975,4.3,24.8,29.25,5.785,351.6,84.625,36.825,45.025,15.9,14.73,7.87,66.075,4.99,21.025,10.27,86.825,24.65,113.45,139.05,3.495,164,4.815,22.175,34.9,6.355,51.325,2.975,85.075,39.2,93.975
09:37:00,33.575,55.2,24.25,38.975,37.325,59.475,12.13,24.525,14.91,21.025,4.935,13.21,16.9,5.185,26.4,39.65,4.71,100.25,149.35,39.575,43.725,24.425,37.325,9.095,9.11,158.55,19.32,13.7,56.025,24.975,12.37,8.145,9.285,52.05,6.1,13.49,4.77,7.535,6.855,65.075,41.375,136.85,55.1,84.5,45.75,27.9,80.025,4.16,4.79,17.53,50.2,7.845,15.35,22.525,134.95,2.655,385.4,37.975,48.275,43.725,3.055,110.9,8.675,4.145,13.18,57.65,229.4,42.6,104.25,10.03,4.325,24.85,29.275,5.79,350.9,84.775,36.875,45.025,15.91,14.76,7.885,66.175,5,21.125,10.26,87.275,24.6,113.4,139.35,3.535,165.1,4.845,22.275,35.225,6.355,51.325,2.975,84.95,39.4,94.125
09:38:00,33.75,55.55,24.15,39.1,37.525,60.2,12.18,24.7,14.98,21.05,4.925,13.27,16.91,5.195,26.25,39.775,4.725,100.85,149.85,39.975,43.85,24.475,37.675,9.13,9.165,159.95,19.37,13.72,56.4,24.925,12.37,8.14,9.32,52.325,6.115,13.5,4.785,7.545,6.875,65.25,41.65,137.6,55.35,84.95,45.9,27.975,80.9,4.175,4.81,17.67,50.425,7.775,15.38,22.625,136.3,2.655,387.8,38.325,48.325,43.775,3.065,111.15,8.725,4.195,13.22,57.725,230.5,42.7,104.8,10.05,4.375,24.925,29.325,5.865,353.3,85.05,36.925,45.275,16.07,14.8,7.95,66.275,5.01,21.2,10.25,87.175,24.7,113.9,139.9,3.585,165.95,4.835,22.3,34.875,6.365,51.45,2.985,85.125,39.575,94.925
09:39:00,33.8,55.25,24.2,39.2,37.45,60.55,12.27,24.825,14.94,21.025,4.935,13.29,17.06,5.195,26.25,39.825,4.74,101.05,149.95,39.975,43.825,24.575,37.775,9.195,9.18,160.95,19.37,13.77,56.675,24.95,12.39,8.125,9.36,52.475,6.125,13.49,4.785,7.575,6.895,65.25,41.675,137.6,55.4,85.075,46.25,28,81.075,4.175,4.815,17.66,50.475,7.775,15.39,22.725,136.55,2.655,387.9,38.325,48.325,43.775,3.065,111.45,8.705,4.225,13.18,57.775,231.1,42.8,105.05,10.14,4.38,24.95,29.275,5.875,353.5,85.075,36.95,45.375,16.07,14.97,8,66.3,5.025,21.2,10.14,86.95,24.925,113.75,140.15,3.56,166.95,4.845,22.375,34.75,6.37,51.525,2.985,85.175,39.625,95.875
09:40:00,33.85,55.375,24.175,39.275,37.475,60.775,12.32,24.825,14.95,21.025,4.945,13.29,17.06,5.205,26.25,39.825,4.745,101.15,150.3,39.85,43.825,24.625,37.7,9.2,9.17,161.45,19.37,13.77,57.1,24.875,12.39,8.12,9.37,52.75,6.13,13.51,4.795,7.575,6.88,65.225,41.85,137.8,55.45,85.05,46.275,28.05,81.525,4.185,4.815,17.66,50.575,7.775,15.43,22.775,136.95,2.645,388.7,38.375,48.35,43.9,3.065,111.6,8.705,4.21,13.18,57.85,231.5,42.875,104.8,10.17,4.37,24.975,29.275,5.885,353.9,85.075,36.95,45.35,16.13,15.07,8.005,66.375,5.025,21.225,10.12,86.825,24.875,113.95,140.4,3.585,167.1,4.845,22.375,34.875,6.335,51.575,2.985,85,39.725,95.95
