Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,25.6522,46.3007,25.1191,30.8712,19.6735,31.8092,12.1369,14.9723,10.5184,15.7364,5.72609,12.0576,14.774,4.33787,14.7201,32.0361,4.94447,83.3683,104.675,37.8876,37.2311,24.0102,30.1016,9.2209,5.82137,111.463,18.5776,10.013,61.4196,22.0554,13.5471,9.87065,7.05558,43.3579,6.66724,11.5402,3.93088,7.45045,5.41089,42.3015,70.097,129.452,60.5518,75.4505,35.956,19.9272,73.4005,3.69664,4.07711,20.0851,41.336,8.441,11.5844,13.5997,111.156,2.79448,301.033,21.7225,40.176,36.8772,2.71394,82.5157,8.04165,3.74615,10.8444,57.6739,238.96,31.0761,63.3692,9.01559,2.75121,21.3127,23.3511,4.76918,285.548,63.8084,24.7471,44.646,14.1123,10.61,5.65713,65.1897,4.69235,14.436,5.13107,93.324,13.7289,96.5802,155.65,1.40855,105.804,4.20489,19.365,33.456,5.15296,37.444,2.89481,63.5668,30.4408,53.9514
09:32:00,25.5468,46.2617,24.9536,30.6892,19.5745,31.6664,12.0641,14.9819,10.4888,15.749,5.72969,12.0373,14.7112,4.32474,14.7,31.965,4.90641,83.5266,104.576,37.8573,37.0112,24.0351,30.0532,9.11485,5.80311,111.692,18.57,9.96805,61.4328,22.0122,13.5336,9.90043,7.01968,43.2456,6.61959,11.4718,3.92149,7.43332,5.37257,41.9154,69.9297,129.279,60.4882,75.363,35.5135,19.7229,73.6575,3.68605,4.04611,19.9856,41.0645,8.36396,11.4851,13.4919,111.049,2.79,301.27,21.775,40.0755,36.8208,2.705,81.8043,8.03719,3.74358,10.8017,57.3861,237.869,30.8969,63.448,9.02409,2.74522,21.1608,23.3439,4.75766,285.679,63.8742,24.7093,44.8121,14.1046,10.4503,5.62092,65.0769,4.66566,14.2188,5.12082,92.9739,13.654,96.1171,156.121,1.405,105.822,4.18269,19.3196,32.7827,5.10198,37.2252,2.88288,63.1743,30.425,53.3893
09:33:00,25.4176,46.0994,24.8573,30.6731,19.5101,31.679,12.0289,14.9738,10.4571,15.8658,5.71516,12.02,14.6117,4.315,14.5882,31.9698,4.86687,83.4832,103.685,37.7939,36.8994,24.1094,30.0098,9.02267,5.75516,112.05,18.5431,9.92585,61.4172,22.0242,13.4795,9.89918,6.9929,43.1105,6.6104,11.4393,3.91101,7.42315,5.34189,41.627,69.9922,129.17,60.5559,75.2287,35.2054,19.6627,73.603,3.67044,4.02463,20.0511,40.9284,8.35,11.45,13.4816,111.157,2.78549,301.197,21.775,39.9605,36.7374,2.705,81.4957,7.99353,3.73004,10.768,57.1022,236.937,30.732,63.321,9.02918,2.71455,21.125,23.261,4.74025,286.021,63.6057,24.4912,44.7677,14.0869,10.2339,5.55659,65.025,4.65,14.2531,5.12469,92.188,13.6077,95.895,155.992,1.39617,105.574,4.175,19.2872,32.6827,5.08006,37.057,2.87612,62.834,30.425,53.1135
09:34:00,25.4492,46.3701,24.65,30.6149,19.4672,31.8406,12.0319,15.0353,10.44,15.8824,5.70145,12.0186,14.6674,4.315,14.35,31.9411,4.84494,83.6073,102.059,37.7739,36.7242,24.125,30.0025,9.00368,5.76926,112.292,18.5308,9.90367,61.3876,22.0196,13.4812,9.89776,6.98567,43.0991,6.61,11.447,3.91,7.425,5.33986,41.6262,70.1345,129.258,60.4783,74.9686,35.1598,19.6662,73.7552,3.67223,4.01532,19.9658,40.9248,8.28438,11.4737,13.4877,111.273,2.785,300.603,21.775,39.9598,36.653,2.69925,81.4052,7.94519,3.72935,10.6776,57.091,235.65,30.5944,63.386,9.03024,2.71404,21.125,23.3708,4.74146,286.039,63.5285,24.4321,44.7008,14.1121,10.31,5.56197,65.025,4.64987,14.2412,5.12841,92.0348,13.5903,95.9196,155.895,1.395,105.69,4.16232,19.3168,32.8265,5.07761,37.0807,2.87001,62.4393,30.425,52.9623
09:35:00,25.3628,46.4794,24.5525,30.4192,19.3784,31.8546,11.9896,15.0186,10.435,15.851,5.66422,11.9597,14.6121,4.30993,14.2068,31.8269,4.81997,83.2782,102.143,37.694,36.7153,24.0726,29.9357,8.97424,5.76368,111.959,18.5198,9.89973,61.3125,21.996,13.4371,9.88842,6.96912,42.8955,6.58993,11.4281,3.90412,7.42061,5.33485,41.7732,70.1946,128.934,60.3955,74.7165,35.0781,19.6665,73.7536,3.66182,3.99464,19.9482,40.894,8.19072,11.5301,13.4275,111.147,2.77852,299.973,21.4321,39.9328,36.5977,2.68806,81.1399,7.92207,3.70987,10.6503,57.0681,234.822,30.6202,63.3108,9.009,2.70129,21.0754,23.4032,4.71141,285.593,63.2891,24.1901,44.5903,14.1193,10.3053,5.55022,64.8797,4.62473,14.246,5.12055,92.0187,13.5226,95.6759,155.356,1.38688,105.238,4.13123,19.242,32.6385,5.05626,37.0791,2.8689,62.4768,30.3085,52.6128
09:36:00,25.2943,46.5333,24.4478,30.5049,19.3204,31.7029,11.9253,14.9974,10.3987,15.7801,5.63629,11.9161,14.5836,4.30097,14.0979,31.6571,4.79711,82.9201,102.099,37.6605,36.6901,24.0018,29.7867,8.93096,5.73697,111.345,18.4303,9.82793,61.1692,21.9841,13.3911,9.875,6.93667,42.7624,6.56057,11.3718,3.88554,7.40926,5.32966,41.775,69.811,128.739,60.2806,74.8963,34.9114,19.5931,73.5173,3.655,3.96413,19.8905,40.8293,8.18815,11.4859,13.3354,110.617,2.76217,298.762,21.1502,39.9017,36.4788,2.68242,81.1397,7.89627,3.68142,10.6469,57.0642,233.86,30.4851,63.0745,8.9326,2.68299,21.075,23.425,4.69941,284.683,63.226,24.1395,44.4718,14.0936,10.2606,5.51611,64.825,4.62232,14.1876,5.0879,92.0155,13.3187,95.3298,154.435,1.38067,104.241,4.10091,19.1619,32.6462,5.04553,36.8782,2.85212,62.5575,30.1607,52.3875
09:37:00,25.3108,46.5629,24.4675,30.5941,19.3463,31.8314,11.9681,15.047,10.3737,15.8195,5.62712,11.92,14.58,4.30177,14.1163,31.6271,4.78899,83.2783,101.939,37.5602,36.6504,24.0791,29.9147,8.90426,5.75772,111.778,18.4107,9.80073,61.4206,21.968,13.3677,9.875,6.93365,42.9841,6.54462,11.3312,3.87038,7.39502,5.33,41.775,69.7937,129.152,60.2529,75.0011,34.7966,19.5974,73.7468,3.65998,3.95517,19.8674,40.7479,8.18423,11.48,13.4115,111.092,2.76005,300.02,21.005,39.8417,36.292,2.68975,80.9559,7.88004,3.675,10.6848,57.1651,235.407,30.5,62.805,8.94204,2.6659,21.075,23.4462,4.72254,285.273,63.5768,24.2369,44.6611,13.9874,10.2189,5.47357,64.8805,4.62619,14.0826,5.00399,92.3204,13.2363,95.299,154.96,1.375,104.503,4.07236,19.1679,32.404,5.02481,36.7553,2.85018,62.5774,30.1,52.3969
09:38:00,25.275,46.4293,24.4661,30.5775,19.38,31.8018,11.9945,15.0944,10.3604,15.86,5.615,11.91,14.5379,4.305,14.1611,31.5901,4.80742,83.2247,102.07,37.3747,36.6103,24.0778,30.0022,8.85185,5.75656,111.775,18.4136,9.77964,61.4822,21.9307,13.3563,9.87818,6.93276,43.0246,6.5307,11.376,3.86683,7.38444,5.32549,41.7376,69.3898,129.05,60.3427,75.15,34.4979,19.5924,73.7352,3.665,3.95224,19.8679,40.8883,8.18936,11.4734,13.4374,110.888,2.76,300.299,20.8165,39.8605,36.2362,2.695,80.8605,7.87282,3.65422,10.6817,57.1406,235.011,30.5,62.8102,8.90361,2.65204,21.075,23.4099,4.71774,285.217,63.6728,24.2258,44.6512,13.8915,10.1451,5.45053,64.925,4.63348,14.1156,5.003,92.1445,13.175,95.2731,155.176,1.375,104.476,4.06612,19.17,32.5846,5.00003,36.6386,2.855,62.4842,30.1,52.1564
09:39:00,25.275,46.3503,24.4838,30.5314,19.4076,31.7781,12.0215,15.0934,10.3572,15.8795,5.61816,11.9173,14.529,4.305,14.1895,31.6319,4.81373,83.3314,102.532,37.35,36.6118,24.097,30.0501,8.8485,5.75212,111.827,18.4447,9.77559,61.6581,22.0213,13.3773,9.91558,6.9312,43.1046,6.52352,11.4454,3.86238,7.38359,5.32413,41.725,69.5276,129.079,60.4344,75.075,34.6,19.5817,73.5713,3.665,3.95644,19.859,40.805,8.185,11.466,13.407,111.063,2.75592,300.839,21.0762,39.8389,36.153,2.695,80.6705,7.88742,3.65011,10.6829,56.9975,235.449,30.4597,62.765,8.90668,2.65578,21.075,23.3537,4.72475,285.345,63.866,24.225,44.6285,13.9404,10.1403,5.46135,64.925,4.635,14.1292,5.00973,91.8823,13.13,95.3361,155.225,1.375,104.667,4.0788,19.1841,32.58,4.99868,36.556,2.855,62.5059,30.1077,52.1244
09:40:00,25.2048,46.2593,24.475,30.503,19.3829,31.6654,12.0093,15.0306,10.35,15.8948,5.61013,11.8702,14.5193,4.305,14.1928,31.4872,4.81222,83.2245,102.591,37.4021,36.625,23.9757,30.0454,8.82358,5.74008,111.554,18.4017,9.76027,61.5496,22.05,13.3815,9.89917,6.91407,43.0078,6.50545,11.4604,3.86,7.36943,5.31525,41.725,69.2332,128.951,60.4422,75.025,34.6015,19.5542,73.4502,3.665,3.94741,19.8004,40.7294,8.13672,11.46,13.3425,110.862,2.755,300.115,20.9947,39.825,36.15,2.695,80.4565,7.88072,3.6492,10.6803,56.9663,234.677,30.3904,62.5297,8.87299,2.64558,21.0278,23.2836,4.70714,284.938,63.86,24.1951,44.5024,13.9548,10.112,5.44049,64.9261,4.635,14.1224,5,91.9098,13.1224,95.276,155.003,1.375,104.35,4.07391,19.1436,32.5912,5.005,36.4374,2.855,62.525,30.1028,51.9315
