Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,12,32,8,6,5,3,47,39,11,4,9,15,1,32,6,0,10,367,0,10,0,34,3,14,9,233,2,23,113,8,12,3,2,59,0,39,1,37,0,1,28,52,81,44,6,6,1,12,15,7,35,3,0,13,225,0,401,0,0,1,5,2,14,14,7,10,40,1,29,23,37,1,49,21,33,47,0,12,0,1,0,28,0,0,41,21,11,9,102,28,89,10,16,1,5,56,15,0,9,21
09:32:00,4,0,3,0,2,26,22,25,1,11,5,18,1,7,3,26,5,166,0,10,0,41,13,6,10,139,6,9,64,0,8,12,5,35,0,13,10,23,2,4,21,24,23,6,0,0,23,4,18,7,0,11,10,29,121,0,179,0,0,0,0,3,1,12,0,0,44,0,0,12,2,6,8,21,20,39,0,0,9,1,0,15,7,0,41,2,13,1,47,33,111,11,3,0,5,15,0,0,23,15
09:33:00,1,3,0,0,1,0,52,19,0,21,0,7,12,6,5,27,7,174,5,2,1,6,18,4,0,106,2,1,88,0,0,3,0,32,5,17,0,21,1,2,5,11,10,6,21,0,1,1,17,1,4,17,9,15,102,0,319,0,0,0,0,18,8,11,0,0,12,4,0,3,5,17,2,7,5,27,0,6,16,6,0,20,0,0,27,10,6,2,21,126,53,2,0,0,1,46,2,0,12,4
09:34:00,3,2,1,0,3,1,37,5,1,16,1,14,6,1,0,9,6,98,0,1,11,7,10,19,26,221,0,18,82,0,9,9,0,2,9,4,0,9,9,11,9,34,40,6,4,19,0,1,2,8,10,3,0,9,58,0,115,0,1,0,8,2,0,6,1,0,24,10,7,45,23,0,5,53,17,35,0,0,3,1,0,27,0,1,40,3,2,0,15,28,30,4,7,0,0,13,18,0,11,21
09:35:00,13,7,15,2,5,0,61,23,2,11,0,8,0,1,9,30,0,106,0,0,0,15,3,7,38,88,0,4,108,0,0,6,6,48,0,1,8,3,3,1,24,30,41,9,16,0,0,6,6,9,6,1,17,11,94,0,186,0,8,3,2,16,1,13,3,0,53,4,20,53,31,0,0,16,26,53,0,16,1,0,26,35,0,27,24,14,3,0,28,64,63,0,1,0,7,7,0,0,3,32
09:36:00,0,4,7,0,0,0,15,3,0,10,0,0,11,0,19,0,10,47,0,9,0,12,1,16,16,48,0,6,46,0,12,5,0,17,0,0,4,29,1,0,7,37,12,10,12,7,22,0,6,3,3,0,20,4,81,0,75,20,1,1,1,0,0,3,0,0,21,0,1,4,37,1,4,39,12,31,0,13,0,4,6,9,7,8,32,31,0,0,13,21,92,3,2,0,0,0,0,0,2,16
09:37:00,2,2,4,3,6,1,43,12,0,14,1,10,0,2,3,8,11,95,3,1,0,2,5,18,12,102,2,18,150,1,6,5,2,33,1,1,2,3,1,0,2,59,31,9,7,0,0,1,7,1,4,5,4,17,133,0,91,0,1,0,1,0,0,12,0,0,19,0,27,31,11,3,3,9,22,12,0,5,2,0,24,22,0,3,15,20,1,0,14,4,112,1,3,0,1,25,0,0,4,40
09:38:00,10,0,12,0,5,2,29,14,0,26,6,2,2,3,5,4,6,32,2,8,0,1,13,14,1,38,0,6,102,2,8,1,0,23,3,1,9,0,20,0,15,19,13,35,4,3,0,3,11,4,1,0,8,17,70,1,101,0,0,0,2,0,0,2,0,1,6,9,7,44,42,0,7,20,2,48,0,1,5,0,3,10,3,0,24,0,0,2,16,21,33,6,4,1,7,26,1,0,21,13
09:39:00,7,10,6,2,0,8,31,41,0,18,0,11,7,2,17,17,8,83,3,15,0,14,13,18,17,57,4,3,78,3,2,3,0,24,1,7,15,4,3,0,23,26,9,29,8,2,0,2,7,14,7,8,10,12,89,5,71,0,6,0,0,0,2,8,4,0,6,9,11,8,32,0,10,32,31,35,0,20,10,3,3,8,0,0,19,12,11,5,31,17,94,0,0,0,0,7,1,0,2,14
09:40:00,0,3,6,0,1,0,2,23,0,9,1,4,3,0,1,6,3,73,0,1,0,14,1,27,0,16,0,5,43,0,1,2,0,4,1,19,1,3,0,0,4,34,4,13,3,0,0,0,9,1,3,0,0,8,62,6,58,0,0,0,0,0,0,4,0,7,8,2,1,18,9,0,0,8,2,3,0,3,3,0,2,11,0,0,6,11,4,0,4,14,51,0,10,0,0,11,2,5,0,7
