Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,8,31,21,11,46,56,190,124,27,35,106,12,0,9,0,21,5,176,2,21,13,66,8,62,58,82,14,1,175,23,35,49,0,71,1,3,14,1,15,77,73,110,40,36,4,34,39,74,6,1,20,2,6,16,235,11,309,16,31,0,11,35,15,1,0,7,64,0,54,29,49,4,9,27,119,8,23,0,40,17,37,15,11,4,4,119,12,27,76,29,73,75,94,0,5,7,19,21,0,94
09:32:00,3,9,2,5,18,36,85,91,1,3,27,0,1,5,2,17,4,57,21,23,0,0,0,44,37,26,6,0,79,54,4,7,0,43,0,22,7,6,2,7,13,26,22,6,2,0,25,16,6,15,1,12,5,5,72,7,72,1,0,17,1,9,3,0,0,0,30,0,12,12,27,6,5,12,56,59,31,2,43,18,67,8,2,1,1,37,11,5,14,8,28,16,15,0,0,1,10,25,16,50
09:33:00,20,17,4,1,9,85,108,116,1,18,6,16,1,5,1,11,13,34,2,15,1,86,4,35,18,31,6,1,103,1,3,1,6,11,0,4,4,24,3,22,27,26,15,0,4,11,40,7,25,2,7,0,28,6,44,4,77,0,0,4,2,0,4,1,0,4,20,0,41,30,4,14,9,7,46,2,5,76,30,1,12,3,2,59,1,12,3,4,34,3,26,10,1,3,0,4,7,2,26,17
09:34:00,3,9,4,11,2,61,93,170,0,29,36,1,13,3,0,0,2,41,1,4,1,14,17,49,51,8,4,0,55,5,13,64,0,14,21,14,3,86,4,8,4,42,31,8,4,2,4,6,2,1,2,0,27,19,21,6,85,0,1,0,3,9,12,0,0,4,25,19,31,14,4,23,5,7,15,19,4,3,37,0,3,4,7,30,0,11,4,1,4,4,34,3,12,2,6,0,8,0,3,22
09:35:00,1,17,4,1,3,13,101,27,3,1,19,4,5,8,1,1,0,42,14,9,2,17,0,29,25,36,6,0,52,32,7,50,0,47,1,16,3,35,6,1,7,39,5,2,0,1,9,5,0,1,0,1,14,18,56,2,75,0,0,2,5,0,28,1,0,1,59,0,20,7,13,0,26,18,27,36,0,5,32,1,8,2,3,2,5,83,0,1,5,18,25,6,118,11,8,1,11,0,4,50
09:36:00,9,18,3,16,7,40,215,78,1,2,36,1,8,18,1,10,30,64,22,6,0,3,0,59,9,49,6,2,86,0,11,4,3,14,0,2,8,18,8,1,95,33,41,25,4,5,24,1,2,0,0,5,13,26,99,5,84,0,36,0,4,0,11,4,0,0,7,6,26,13,11,0,24,13,16,94,1,2,47,0,3,4,2,4,0,0,14,3,90,6,40,23,4,2,6,3,9,0,5,29
09:37:00,2,2,19,0,3,70,167,9,1,2,47,24,6,29,4,33,0,46,22,1,0,10,0,53,29,39,14,0,124,0,4,73,8,83,0,38,8,7,17,24,5,44,53,1,10,10,16,23,0,0,6,27,15,18,53,0,82,74,1,0,2,0,11,1,0,0,5,3,5,17,2,0,2,10,4,91,0,7,33,0,28,12,48,3,0,66,2,11,31,20,36,28,26,12,1,2,3,7,26,18
09:38:00,1,0,14,4,14,21,74,79,1,3,31,1,0,7,1,33,15,71,27,7,0,2,0,47,26,24,25,0,57,2,9,20,1,18,1,27,14,17,2,121,1,18,30,2,9,2,18,23,0,1,2,0,10,11,19,1,29,0,0,0,7,0,8,0,0,0,17,3,37,11,14,0,2,7,1,34,0,1,26,6,0,23,8,3,0,14,2,0,21,2,18,17,19,0,2,2,27,0,10,39
09:39:00,1,7,4,0,9,4,218,20,0,3,2,8,3,31,1,23,26,17,6,17,1,15,1,34,1,18,23,0,65,14,12,24,1,81,1,8,3,28,2,1,1,22,37,16,6,2,2,4,0,3,4,0,13,10,34,9,57,6,0,0,46,6,18,0,19,0,11,2,17,19,28,5,2,5,68,120,0,2,21,18,12,18,1,1,1,58,0,0,48,2,51,5,13,2,20,3,6,2,3,35
09:40:00,3,0,10,2,2,13,179,22,3,32,20,12,4,4,2,23,0,54,21,14,9,2,0,24,32,53,10,1,42,6,10,5,2,9,1,18,29,21,3,33,54,17,31,11,8,2,5,4,38,1,0,7,24,22,43,32,93,2,2,0,3,0,24,1,1,0,15,13,5,19,4,0,27,9,6,40,0,1,23,3,2,22,39,0,1,0,19,0,18,39,59,30,49,0,6,0,4,0,4,12
