Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,44,53,54,9,79,114,104,133,3,43,188,236,4,78,33,69,22,601,13,21,26,348,8,80,23,182,76,89,291,32,552,40,6,253,32,141,93,40,31,36,292,146,58,81,40,5,51,54,221,6,240,0,39,25,344,183,636,41,98,7,60,5,50,34,16,17,370,5,71,112,30,45,111,45,231,243,1,7,5,3,26,34,2,2,8,30,2,7,30,128,77,131,292,8,42,58,4,0,48,66
09:32:00,24,26,23,11,29,20,102,11,0,35,221,100,26,54,16,91,50,341,0,25,12,123,19,50,7,116,54,36,291,17,133,12,30,236,7,117,21,9,17,22,113,89,9,51,17,13,62,53,41,14,94,0,4,2,363,96,312,21,11,6,8,12,49,29,3,2,93,0,53,36,17,12,37,33,59,203,1,30,1,0,36,20,2,0,15,13,1,22,20,128,65,54,109,9,52,42,24,2,9,34
09:33:00,25,61,11,0,39,14,75,19,40,8,74,90,41,25,17,155,35,365,20,27,0,96,0,50,13,89,44,1,188,22,192,90,17,162,7,32,20,19,55,10,106,92,9,30,6,11,24,41,40,6,34,2,17,22,174,63,274,1,11,2,16,7,18,22,0,11,96,0,32,53,22,10,30,2,81,103,10,24,22,0,31,12,22,0,3,41,4,3,14,140,37,49,90,5,39,42,59,4,17,23
09:34:00,12,18,3,2,20,15,29,4,8,18,149,69,16,63,8,57,17,388,16,19,0,112,8,15,0,111,27,12,136,18,115,73,2,96,18,41,25,31,0,37,77,83,17,15,3,0,31,36,10,18,83,2,13,4,113,60,550,1,8,1,14,1,25,18,5,18,101,4,4,12,4,6,30,22,38,63,16,0,2,0,50,26,5,0,3,26,11,30,21,59,43,49,52,1,32,22,9,0,54,30
09:35:00,8,19,8,4,17,104,185,1,10,20,78,70,27,31,20,77,19,269,1,9,3,93,2,21,6,157,29,44,196,23,109,13,10,95,11,25,10,3,39,6,58,86,22,92,6,5,26,22,16,12,52,2,0,17,108,38,513,0,6,0,27,6,48,29,0,16,65,0,56,24,12,21,37,6,49,107,0,21,4,19,47,22,8,0,11,30,12,6,0,62,65,83,72,19,26,12,23,0,3,18
09:36:00,37,14,17,26,23,16,98,3,3,19,76,39,22,50,34,73,7,272,3,6,11,61,18,20,12,125,44,16,239,25,117,65,16,153,5,28,12,5,12,66,36,79,36,41,9,11,65,34,15,11,52,11,1,4,127,55,365,6,5,28,11,21,23,23,0,6,59,28,38,47,15,16,22,21,48,19,11,21,11,7,37,20,8,76,23,65,0,3,12,59,61,58,47,18,41,39,5,6,49,34
09:37:00,6,14,0,3,11,43,159,49,4,16,188,126,35,29,2,131,1,407,0,12,28,73,43,29,20,90,16,15,218,17,89,16,5,87,6,100,42,4,26,24,59,60,30,63,7,0,37,48,20,5,8,7,37,22,186,32,420,1,11,7,3,2,7,26,37,7,70,38,43,33,3,26,23,6,162,154,1,3,0,13,26,20,5,26,21,16,4,0,39,36,77,31,40,1,18,24,36,6,1,35
09:38:00,53,3,22,2,24,22,148,1,1,19,83,77,1,20,2,49,47,352,0,13,5,75,16,57,19,141,29,13,167,25,93,35,17,98,8,15,34,4,25,4,45,82,23,16,9,9,30,23,19,3,69,2,0,13,151,31,291,14,7,6,9,9,6,6,0,17,64,1,14,13,4,6,34,6,56,184,0,13,3,3,14,36,3,0,14,12,1,19,43,70,74,32,55,5,28,28,2,0,0,48
09:39:00,12,1,6,0,18,18,168,1,0,17,40,60,1,15,4,106,15,239,2,13,2,92,3,6,9,80,63,18,139,59,108,52,3,92,6,15,22,12,6,9,45,69,8,30,4,22,12,42,5,8,5,19,0,5,142,42,284,0,2,0,10,0,48,4,0,1,83,14,8,46,6,1,26,14,42,32,18,9,0,1,20,20,1,16,22,12,3,2,4,48,58,8,33,2,16,1,2,0,0,19
09:40:00,1,16,5,1,13,19,92,0,1,0,38,20,19,3,1,31,10,187,11,3,7,74,4,78,2,116,50,5,75,15,88,2,3,140,14,8,13,7,5,4,50,85,56,16,7,0,14,35,25,7,20,2,5,13,120,28,224,0,9,4,30,0,27,1,11,0,59,4,3,38,0,9,14,7,52,36,3,22,10,0,33,23,1,5,9,32,0,0,1,76,76,24,29,2,18,4,19,0,0,40
