Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,26.5,49.6,23.65,32.05,19.8,36.85,11.8,16.52,10.44,17.08,6,12.26,15.52,4.26,13.92,32.15,5.04,88,100.6,35.35,38.6,24.2,33.15,9.2,6.27,124.7,20.05,11.48,62.3,20.95,13.54,9.46,7.57,47.1,6.07,12.54,3.89,7.8,5.69,45,68.7,133.9,56.95,75.8,34.2,20.8,75.1,3.73,4.06,18.12,41.4,7.8,11.6,17.2,122.4,2.74,316.2,23,41.3,38.3,2.68,79,7.9,3.96,11.22,59.1,242.8,34.55,54.5,9.52,2.92,22.25,25.65,4.45,300.4,66.95,,43.9,14.38,9.88,5.7,65.05,,16.7,6.06,79,14.7,97.05,154,1.49,107.1,4.49,19.32,33.3,4.89,38.3,2.74,63.5,,59.95
09:32:00,26.4,49.35,23.6,31.85,19.66,36.9,11.58,16.38,10.32,16.9,5.98,12.24,15.5,4.27,13.78,32.3,5.03,88.05,100.1,35.55,38.6,24.15,32.95,9.26,6.14,125.2,20.15,11.22,62.7,21.15,13.46,9.47,7.56,46.75,6.15,12.52,3.9,7.87,5.68,44.6,68.8,134.2,57,75.6,34.75,20.45,73.5,3.73,4.06,17.9,41.35,7.88,11.46,16.8,122.6,2.74,318.6,22.55,41.15,38.2,2.69,79.5,7.93,4.03,11.22,59.05,242.4,34.5,55.3,9.51,2.9,22.2,25.2,4.42,299,66.75,,43.55,14.36,9.89,5.7,65.05,4.54,16.16,6.03,79.9,14.38,96.6,155.1,1.46,108.2,4.49,19.26,33,4.91,38.3,2.73,64.05,,59.6
09:33:00,26.25,49.15,23.6,31.75,19.8,36.65,11.6,16.32,10.28,16.86,5.99,12.22,15.42,4.27,13.82,32.15,5.05,87.95,99.15,35.65,,24.2,32.95,9.21,6.13,124.8,20.1,11.2,62.6,,13.44,9.48,7.56,46.75,6.11,12.5,3.9,7.85,5.66,44.35,68.6,133.8,57,75.8,34.95,20.3,73.25,3.72,4.06,17.94,41.2,7.93,11.4,16.92,122.6,2.76,318.6,22.25,41.05,38.1,2.67,79.05,7.92,4.01,11.2,59,241.4,34.3,55.3,9.5,2.9,22.2,25.1,4.39,298.2,66.3,28.5,43.6,14.44,9.96,5.7,65.05,4.52,15.6,6.03,80.5,14.1,96.2,154.6,1.46,107.9,4.48,19.22,32.8,4.92,38.1,2.73,64.05,,59.55
09:34:00,26.2,49.1,23.6,31.7,19.7,36.45,11.56,16.22,10.26,16.8,6.02,12.22,15.38,4.27,13.9,32.25,5.04,87.75,99.25,35.85,38.45,24.15,33,9.12,6.08,124.6,20.15,11.18,62.35,21,13.46,9.47,7.55,46.8,6.13,12.52,3.9,7.89,5.62,44.05,68.65,133.7,57.2,75.95,35,20.2,73,3.72,4.06,,41.2,7.91,11.42,16.88,122.3,2.76,318.6,21.95,40.6,38.05,2.67,78.35,7.91,3.99,11.14,,240.8,34.15,54.9,9.43,2.9,22.15,25.05,4.37,297.6,66.15,28.25,43.35,14.4,10.02,5.66,65.15,4.52,15.66,6.1,80.15,13.98,96,154.7,1.47,107,4.5,19.2,32.85,4.91,38,2.73,63.95,,59.7
09:35:00,26.3,49.1,23.55,31.45,19.68,36.4,11.56,16.3,10.28,16.76,6,12.18,15.34,4.27,13.84,32.1,5.07,87.65,99.2,35.8,38.4,24.2,33,9.09,6.05,124.6,20,11.16,62.4,21,13.48,9.47,7.52,46.6,6.12,12.56,3.9,7.86,5.62,44.1,68.6,133.8,57.1,76.25,34.95,20.1,72.95,3.71,4.06,17.96,41.25,7.86,11.34,16.86,122.5,2.76,318.6,22.25,40.6,38,2.66,77.95,7.94,3.97,11.14,58.75,240.2,34.15,54.9,9.45,2.92,22.15,25.05,4.38,297.8,65.85,28.35,43.5,14.4,10.12,5.68,65.1,4.51,15.68,6.05,80.35,13.96,96,155,1.47,107,4.48,19.08,32.7,4.94,38,2.74,63.8,30.45,59.8
09:36:00,26.35,49.05,23.5,31.45,19.76,36.7,11.58,16.36,10.32,16.78,6.01,12.14,15.32,4.27,13.84,32.15,5.07,87.7,99.9,36,38.4,24.25,33,9.12,6.12,124.5,20.05,11.2,62.15,,13.46,9.43,7.52,46.55,6.11,12.54,3.88,7.83,5.61,,68.6,133.6,57,76.65,35.35,20.05,73.1,3.71,4.07,18.1,41.1,,11.36,16.92,122.4,2.74,318.4,22.3,40.55,38,2.67,77.75,7.93,3.98,11.2,58.75,240,34.4,55.1,9.46,2.94,22.1,24.9,4.41,297.2,66,28,43.55,14.38,10.16,5.71,65.05,4.48,15.6,6.09,80.65,13.96,95.5,155.1,1.49,107,4.46,19.1,32.75,4.96,37.95,2.74,64.25,30.2,59.75
09:37:00,26.4,49.1,23.5,31.4,19.82,36.7,11.62,16.36,10.3,16.8,6,12.2,15.34,4.28,13.92,32.25,5.11,87.7,100.7,36.85,38.4,24.35,32.95,9.14,6.14,124.4,20.15,11.2,62.25,21,13.48,9.46,7.52,46.6,6.1,12.58,3.9,7.84,5.61,44.2,68.85,133.7,57,76.7,35.95,20.05,73.3,3.72,4.06,18.14,41.15,7.9,11.4,16.86,122.6,2.75,318.8,22.3,40.5,38,2.68,77.35,7.95,3.98,11.26,58.65,240.2,34.4,55.35,9.47,2.94,22.15,25,4.42,297.4,65.9,28,43.5,14.42,10.28,5.72,65,4.5,15.66,6.09,80.75,14.02,95.45,155.5,1.49,106.8,4.46,19.14,33,4.98,37.9,2.74,64.05,30,59.85
09:38:00,26.4,49.15,23.55,31.35,19.86,36.9,11.6,16.38,10.28,16.78,6.03,12.18,15.4,4.3,13.94,32.25,5.1,87.85,100.8,36.65,38.35,,33.05,9.18,,124.1,20.15,11.2,62.3,21,13.52,9.43,7.55,46.7,6.1,12.62,3.89,7.85,5.61,44.2,69.2,133.7,57.05,76.7,35.8,20.05,73.55,3.73,4.07,18.02,41.2,7.89,11.38,16.9,122.8,2.75,319.4,,40.5,37.9,2.68,77.25,7.96,3.99,,58.6,240.8,34.4,55.4,9.48,,22.1,25,4.42,297.6,65.9,28.1,43.7,14.46,10.24,5.7,65.15,4.5,15.68,6.02,80.8,14.02,95.45,155.6,1.49,106.8,4.48,19.18,32.9,4.96,38,2.75,64.35,30,59.7
09:39:00,26.55,49.1,23.55,31.4,19.92,36.95,11.58,16.4,10.28,16.78,6.02,12.18,15.4,4.29,13.98,32.3,5.12,88,101,37.05,38.4,24.35,33,9.13,6.17,124.2,20.15,11.24,62.25,21.05,13.56,9.46,7.55,46.7,6.13,12.6,3.9,7.85,5.61,44.3,69.4,133.8,57.15,76.7,35.85,20.05,73.7,3.74,,18.08,41.2,7.9,11.4,16.8,122.8,2.75,318.8,22.2,40.45,37.95,2.68,77.95,7.96,3.99,,58.7,241,34.4,55.35,9.51,2.94,22.15,25.05,4.43,297.4,66,28.1,43.75,14.48,,5.72,65.15,4.51,15.74,6.04,81.05,14.02,95.5,155.6,1.5,106.8,4.47,19.18,33.1,4.97,38,2.76,64.25,30.05,59.65
09:40:00,26.5,49.15,23.6,31.45,20.05,37.05,11.58,16.44,10.32,16.82,6.02,12.22,15.42,4.29,14.06,32.3,5.12,88,101.7,37.5,38.45,24.4,33.15,9.17,6.17,124.6,20.2,11.26,62.15,,13.52,9.53,7.58,46.75,6.13,12.62,3.9,7.89,5.63,44.4,69.75,133.9,57.15,76.7,36.05,20.1,73.65,3.75,4.07,18.14,41.45,7.91,11.42,16.84,123,2.75,319.2,22.5,40.6,38.05,2.68,77.95,7.98,3.99,,58.8,242,34.5,55.7,9.54,2.96,22.2,25.1,4.44,299,66,28.1,43.85,14.46,,5.73,65.15,,15.76,6.02,81.3,14.06,95.7,155.6,1.5,106.8,4.46,19.14,33.2,4.97,38.05,2.76,64.15,30.05,59.65
