Minutes,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Stock61,Stock62,Stock63,Stock64,Stock65,Stock66,Stock67,Stock68,Stock69,Stock70,Stock71,Stock72,Stock73,Stock74,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock82,Stock83,Stock84,Stock85,Stock86,Stock87,Stock88,Stock89,Stock90,Stock91,Stock92,Stock93,Stock94,Stock95,Stock96,Stock97,Stock98,Stock99,Stock100
09:31:00,582700,955050,2.8705e+06,891650,99540,7.70318e+06,2.06278e+07,1.25386e+06,702120,2.63509e+06,4.0171e+06,2.0979e+06,1.00656e+06,2.22968e+06,3.69312e+06,5.28668e+06,1.12308e+06,2.1745e+07,994075,2.04325e+06,,195580,6.2094e+06,1.00616e+06,817780,1.02013e+07,363152,1.46346e+06,3.82489e+06,239560,5.42642e+06,3.35264e+06,524740,2.38178e+07,85320,680600,1.08562e+06,634005,934970,1.0822e+06,4.51908e+06,2.70404e+06,1.81432e+07,392950,255600,1.55635e+06,22055,1.62474e+06,209680,302280,1.63712e+06,195000,566800,468450,9.75138e+06,5.29957e+06,4.99093e+07,862300,369250,153475,2.05969e+06,5.9468e+06,457700,826740,,1.06172e+06,1.21568e+08,356490,7.07032e+06,2.97437e+06,1.14103e+06,2.4124e+06,679940,569000,1.3686e+07,1.291e+07,,1.71828e+06,,,1.75436e+06,2.38225e+07,187850,1.19992e+06,67426,2.05452e+06,141440,1.36726e+06,318740,804720,1.83683e+06,3.7802e+06,300972,158180,,3.9417e+06,664690,257100,21870,796675
09:32:00,469200,904650,3.41188e+06,219800,514400,2.41958e+06,5.8055e+06,789458,135220,350240,1.01674e+07,729900,2.95356e+06,1.19551e+06,2.51172e+06,2.84212e+06,140370,5.46156e+06,449250,2.32005e+06,,53570,1.1442e+06,2.78836e+06,1.32376e+06,1.80462e+06,389778,255820,887295,731580,9.54856e+06,1.16982e+06,52430,5.54848e+06,,278800,832110,3.09791e+06,211660,2.2479e+06,5.19722e+06,2.88212e+06,1.05811e+07,664550,,41550,58585,1.00555e+07,276835,378600,540650,255400,2.05286e+06,279020,2.77041e+07,783000,2.81974e+07,202700,390900,,182980,2.3177e+06,983975,4.44062e+06,,,9.94043e+07,216710,3.46549e+06,4.2199e+06,216170,21900,1.64364e+06,91440,3.9534e+06,9.9279e+06,,426830,786296,,1.81648e+06,5.963e+06,9160,208560,,32795,84420,155570,1.01901e+06,757220,416600,2.65774e+06,470164,496275,77120,5.88944e+06,33120,385000,205130,2.93866e+06
09:33:00,,50150,1.02139e+07,62750,297340,3.87608e+06,3.34776e+06,426382,342740,1.74832e+06,3.76894e+06,973460,1.20528e+06,2.08997e+06,3.9152e+06,371425,31260,1.76948e+07,1.30165e+06,1.72662e+06,57525,629590,606300,1.71718e+06,240340,3.06512e+06,35468,33400,586525,225420,4.76754e+06,677400,383570,1.51105e+06,477700,559240,4.09512e+06,1.01728e+06,33360,,7.78342e+06,1.73845e+06,3.10692e+06,429575,546850,,694685,469960,71235,2.46844e+06,1.93842e+06,15100,239852,2.71301e+06,3.52357e+06,165310,2.36843e+07,225250,1.4586e+06,,16190,2.15032e+06,985365,1.45312e+06,,,6.21009e+07,160860,4.20898e+06,1.73211e+06,1.29487e+06,689325,61800,239860,2.16748e+06,6.35235e+06,,613450,768128,220600,4.37058e+06,5.49382e+06,436280,,,246295,14040,718535,5.60862e+06,1.22031e+06,851376,707320,304448,47740,546090,2.67528e+06,38590,,27945,908835
09:34:00,552900,,4.34002e+06,15725,19880,4.70842e+06,5.16078e+06,371418,114600,283340,844080,170900,7.25236e+06,4.08654e+07,473520,3.73832e+06,62640,1.11594e+07,2.15965e+06,1.50268e+06,268875,999040,539000,697910,25360,3.27381e+06,373596,22400,3.11e+06,216580,6.4766e+06,1.60214e+06,543800,4.00008e+06,367800,1.91004e+06,23280,223715,350930,,4.85898e+06,757805,8.08524e+06,547275,804500,207650,87585,568900,12205,266520,586350,30120,128740,90090,4.2784e+06,1.86399e+06,1.56476e+07,56500,61725,,1.99765e+07,5.3567e+06,2.09797e+06,2.60542e+06,,,2.78875e+07,104800,6.17706e+06,2.30659e+06,489470,448025,20580,165860,904240,5.41874e+06,,444700,5864,,1.13948e+06,1.48262e+07,674770,192480,,,196640,9735,907870,98810,1.01962e+06,1.38278e+06,191776,40740,189870,1.1727e+06,1.94895e+06,,34210,1.46724e+06
09:35:00,4.12785e+06,2.6079e+06,5.42308e+06,188550,139580,3.58375e+06,1.21344e+07,1.05152e+06,208500,615960,7.28796e+06,2.18768e+06,6.20664e+06,399020,1.90368e+06,744875,438510,7.24958e+06,251550,2.0392e+06,288500,9780,2.1557e+06,816485,480520,5.35649e+06,543626,476400,1.70688e+06,17320,2.34355e+07,2.16658e+06,211710,1.18345e+06,61320,2.55076e+06,2.33872e+06,160845,105790,90200,7.08982e+06,534065,6.81984e+06,39150,73200,707300,175210,1.5255e+07,789140,76080,1.25842e+06,150800,1.24656e+06,2.20212e+06,4.31766e+06,271000,2.01167e+07,135800,1.48295e+06,,227640,2.67805e+06,542035,5.20174e+06,,2.11345e+06,4.3194e+07,265490,3.45348e+06,934620,120280,2.85165e+06,883840,367500,1.44764e+06,5.78559e+06,,497850,140488,201200,1.1054e+06,4.06172e+06,2.18586e+06,416700,,139605,56220,213660,1.06671e+06,831000,798766,224800,466824,347790,142540,1.04392e+06,4.41994e+06,2.7016e+06,,1.26546e+06
09:36:00,248600,,8.22198e+06,580125,1.21422e+06,9.52342e+06,6.38181e+06,122640,301820,561880,6.47966e+06,620280,5.66504e+06,1.06829e+07,531720,1.39008e+06,235170,1.27507e+07,251350,2.81362e+06,384125,605120,470000,1.5295e+06,126000,1.55124e+07,806122,11020,1.32244e+06,554220,1.48357e+07,937180,15140,1.20428e+06,24560,584880,7770,706915,461440,1.0806e+06,712300,855990,4.35322e+06,780000,36600,124850,736420,1.23081e+07,,228040,1.82055e+06,120700,135000,1.8108e+06,4.96968e+06,8140,1.73064e+06,407525,658350,,168010,3.88736e+07,236030,2.62612e+06,,267400,2.19907e+07,389940,3.46812e+06,4.92952e+06,310590,4.09658e+06,851740,147800,2.4088e+06,6.06153e+06,,35590,350520,141040,656980,948300,509560,127960,9136,319870,168300,310685,206820,2.69614e+06,1.88091e+06,3.31028e+06,86544,3410,210425,2.23494e+06,2.07828e+06,1.1585e+06,127485,478970
09:37:00,55200,,1.21055e+07,,99680,3.23135e+06,2.66877e+06,355848,114200,2.81114e+06,22280,668980,2.5012e+06,1.08921e+06,363840,354975,188490,1.75205e+07,301500,3.0474e+06,,331160,1.0721e+06,503005,75480,2.46075e+06,169622,11020,624890,77940,3.75274e+06,243640,226540,1.86462e+06,233400,177800,69840,1.0171e+06,183230,449000,8.20867e+06,1.57601e+06,1.01955e+07,389725,109550,166000,145960,830540,325720,189080,961925,,521704,1.28251e+06,5.12595e+06,507200,1.85906e+06,11275,575400,,18950,2.01433e+06,101845,3.90756e+06,,,2.13898e+07,111190,1.84403e+06,336070,286390,163275,1.04918e+06,625200,4.18652e+06,3.83023e+06,,275900,439912,80080,978400,3.75762e+06,,575040,,147645,,456675,,102510,933306,190160,86480,68435,212900,172625,212520,,15550,717945
09:38:00,220800,400850,1.9202e+06,782175,,1.19605e+06,9.32244e+06,216490,20720,2.51383e+06,1.92388e+06,60800,7.3026e+06,524460,1.58652e+06,500175,1.05477e+06,7.68214e+06,100450,2.13955e+06,,340200,601800,839490,1.32632e+06,1.53299e+06,53262,231460,1.21216e+06,,7.37224e+06,299820,98050,141600,73740,4.60436e+06,7760,294410,182830,448200,2.62872e+06,357365,9.43996e+06,77850,,20700,43680,742840,14220,,856225,331960,59512,3.20613e+06,1.36254e+07,154470,3.33165e+07,33825,1.17212e+06,38400,81060,1.00572e+07,207585,1.78934e+06,,6.82255e+06,1.90987e+07,228800,1.15402e+06,384410,123150,1.4115e+06,575920,9200,813520,1.86766e+07,,151150,40944,,57560,3.43298e+06,,143080,,57440,,1.44666e+06,3.17101e+06,34190,791564,164240,236860,116555,5010,88090,33120,,,227015
09:39:00,358450,3.4022e+06,1.32833e+06,,1.57294e+06,1.7008e+06,7.18776e+06,422580,,7.72476e+06,2.18048e+06,643640,1.852e+06,7.61549e+06,55600,467300,47280,2.05241e+07,653250,2.39162e+06,210875,436410,867100,558730,276760,3.78484e+06,145966,11040,3.71868e+06,,6.59736e+06,337040,233900,3.41632e+06,73660,1.52496e+06,19400,266225,105260,805400,3.8988e+06,991425,3.86271e+07,349775,108850,41400,1.59864e+06,5.72283e+06,209140,75360,208750,210800,667460,3.41954e+06,1.3048e+07,2.93782e+06,2.26925e+07,428325,20575,,35180,845800,105820,1.24074e+06,66720,444050,2.09004e+07,83030,2.0002e+06,2.43045e+06,35200,32550,902780,,4.36634e+06,3.29826e+06,796050,799640,175368,,1.52588e+06,2.1913e+06,,572640,,729120,,495220,1.97528e+06,56620,2.18927e+06,958840,48840,20620,92685,412555,,1.9238e+06,158365,735120
09:40:00,137500,3.4568e+06,1.5832e+06,31200,,198975,1.28707e+07,229644,31080,1.68525e+06,2.42028e+06,303800,7.09084e+06,453660,27880,144825,15690,1.4215e+07,553000,163125,134475,77600,1.6012e+06,1.5177e+06,667820,1.46359e+06,43390,22080,1.23788e+07,379520,3.518e+06,317640,30240,305525,12260,177440,348300,156280,577130,716000,4.68942e+06,1.948e+06,2.9282e+06,77600,108850,62200,21785,6.40719e+06,10125,,2.25122e+06,467800,3.72908e+06,6.18059e+06,1.30351e+07,2.19232e+06,3.22883e+07,44925,102625,,254720,1.16792e+06,105815,4.89504e+06,440640,,1.56292e+07,928400,475690,452440,,10850,10260,64540,541300,5.57943e+06,306350,141900,128568,,411960,195900,,15880,,8170,,631465,3.38994e+06,73010,585982,499760,661584,175740,5010,263530,22080,,12440,503060
